Feature,Importance (MDI),Std,q25,q75,Language,partID,syllable,lang_profile,pc1,pc2,Stdx2
spec_dur,0.3516230175235658,0.12121704482021275,0.25694104016095376,0.43331123946404054,eng,ala059,pen,l3_eng,-2.5142055322180346,-3.8533627737632985,0.2424340896404255
f0_creak,0.3395739190353647,0.11870667339007436,0.2555010789845492,0.42100837569944866,eng,ala059,pen,l3_eng,-2.5142055322180346,-3.8533627737632985,0.23741334678014872
vowel_periph,0.3088030634410696,0.11358929843366807,0.2275319389209125,0.3803556320461871,eng,ala059,pen,l3_eng,-2.5142055322180346,-3.8533627737632985,0.22717859686733613
spec_dur,0.32014462971762153,0.1136710130053869,0.24143029720489095,0.3937269203607331,spa,ala059,pen,l3_eng,-2.5142055322180346,-3.8533627737632985,0.2273420260107738
f0_creak,0.35849445728699697,0.11856138474770538,0.28220542364436985,0.42919148396887263,spa,ala059,pen,l3_eng,-2.5142055322180346,-3.8533627737632985,0.23712276949541075
vowel_periph,0.32136091299538144,0.12417386893336113,0.2348386968988137,0.41006692233328895,spa,ala059,pen,l3_eng,-2.5142055322180346,-3.8533627737632985,0.24834773786672226
spec_dur,0.3370194259959505,0.12225805810574078,0.24971932303246322,0.4292515995048618,cat,irb111,pen,l3_eng,-4.302326744326879,-0.0775427669154291,0.24451611621148156
f0_creak,0.2899745271033808,0.1151631183851969,0.2119754602575069,0.36235551410612427,cat,irb111,pen,l3_eng,-4.302326744326879,-0.0775427669154291,0.2303262367703938
vowel_periph,0.37300604690066874,0.134926452951746,0.2803249456191274,0.458604407462501,cat,irb111,pen,l3_eng,-4.302326744326879,-0.0775427669154291,0.269852905903492
spec_dur,0.37321068743164243,0.12920795844666236,0.2819326718724932,0.46537517312617954,eng,irb111,pen,l3_eng,-4.302326744326879,-0.0775427669154291,0.2584159168933247
f0_creak,0.323921677322093,0.1345112880567738,0.22353618355155228,0.4216218204144511,eng,irb111,pen,l3_eng,-4.302326744326879,-0.0775427669154291,0.2690225761135476
vowel_periph,0.30286763524626464,0.1314020495879698,0.20770040474908627,0.39537848384684937,eng,irb111,pen,l3_eng,-4.302326744326879,-0.0775427669154291,0.2628040991759396
spec_dur,0.3391063697667351,0.11974419820386234,0.257494875518779,0.42025204716431724,spa,irb111,pen,l3_eng,-4.302326744326879,-0.0775427669154291,0.23948839640772468
f0_creak,0.3188398663961998,0.11352444292777093,0.23775193012169685,0.4006721529465162,spa,irb111,pen,l3_eng,-4.302326744326879,-0.0775427669154291,0.22704888585554187
vowel_periph,0.34205376383706504,0.1275317385817941,0.2530481415262038,0.42602171769062114,spa,irb111,pen,l3_eng,-4.302326744326879,-0.0775427669154291,0.2550634771635882
spec_dur,0.502828849713869,0.15194036533040578,0.3921012200023034,0.6138514075143041,eng,acj047,pen,mono,,,0.30388073066081156
f0_creak,0.2601595307337746,0.11897795402935658,0.16578287709120787,0.34676454273517643,eng,acj047,pen,mono,,,0.23795590805871317
vowel_periph,0.23701161955235642,0.10916793290816433,0.15628287020301065,0.31930329641541483,eng,acj047,pen,mono,,,0.21833586581632866
spec_dur,0.3532789863359888,0.1341620667183979,0.2553338697606565,0.4462237059163187,cat,acj297,pen,l1_eng,3.7642109833802633,-1.2401008910090194,0.2683241334367958
f0_creak,0.2842604954731796,0.10993179735424885,0.2116736364050944,0.3557664986168977,cat,acj297,pen,l1_eng,3.7642109833802633,-1.2401008910090194,0.2198635947084977
vowel_periph,0.3624605181908316,0.1440681798238138,0.261775408231869,0.4620863815962972,cat,acj297,pen,l1_eng,3.7642109833802633,-1.2401008910090194,0.2881363596476276
spec_dur,0.414219490390548,0.1562243368788011,0.2994412505553099,0.5320619794341097,eng,acj297,pen,l1_eng,3.7642109833802633,-1.2401008910090194,0.3124486737576022
f0_creak,0.3437706467133088,0.13221992729834084,0.24463124644319673,0.4355851524726826,eng,acj297,pen,l1_eng,3.7642109833802633,-1.2401008910090194,0.2644398545966817
vowel_periph,0.24200986289614324,0.11772865621390825,0.156238002269234,0.3127186914183522,eng,acj297,pen,l1_eng,3.7642109833802633,-1.2401008910090194,0.2354573124278165
spec_dur,0.24270516534673053,0.10875304466683659,0.15371881791845624,0.31707685630073895,spa,acj297,pen,l1_eng,3.7642109833802633,-1.2401008910090194,0.21750608933367319
f0_creak,0.46712395078473246,0.15087242892707955,0.36181558050537327,0.576530068555861,spa,acj297,pen,l1_eng,3.7642109833802633,-1.2401008910090194,0.3017448578541591
vowel_periph,0.290170883868537,0.129791634425943,0.19001529256236133,0.37440199933591356,spa,acj297,pen,l1_eng,3.7642109833802633,-1.2401008910090194,0.259583268851886
spec_dur,0.32640974415706403,0.1733766897034762,0.1860644114637612,0.4612330111134164,cat,acr108,pen,l1_eng,3.094974148387531,-0.5075469861697175,0.3467533794069524
f0_creak,0.48658762476531386,0.21034054747176287,0.32064412366411654,0.6473453472941192,cat,acr108,pen,l1_eng,3.094974148387531,-0.5075469861697175,0.42068109494352574
vowel_periph,0.1870026310776221,0.11327744291480352,0.09687666533866329,0.25450571534241145,cat,acr108,pen,l1_eng,3.094974148387531,-0.5075469861697175,0.22655488582960703
spec_dur,0.4666091186729392,0.1188486180993228,0.3937125579494449,0.5456518072229375,eng,acr108,pen,l1_eng,3.094974148387531,-0.5075469861697175,0.2376972361986456
f0_creak,0.2732522535182119,0.09639234139182484,0.20550041415030976,0.3368092505558854,eng,acr108,pen,l1_eng,3.094974148387531,-0.5075469861697175,0.19278468278364969
vowel_periph,0.26013862780884883,0.11013857321446968,0.1827198176120369,0.32989976132036386,eng,acr108,pen,l1_eng,3.094974148387531,-0.5075469861697175,0.22027714642893936
spec_dur,0.3267071202119953,0.15097187219733813,0.21374417377433114,0.43386325266116355,spa,acr108,pen,l1_eng,3.094974148387531,-0.5075469861697175,0.30194374439467625
f0_creak,0.34363002237997176,0.16138175431470683,0.219953428164589,0.4506222282579834,spa,acr108,pen,l1_eng,3.094974148387531,-0.5075469861697175,0.32276350862941366
vowel_periph,0.32966285740803286,0.1642666392423105,0.2012394227101972,0.43624621813240905,spa,acr108,pen,l1_eng,3.094974148387531,-0.5075469861697175,0.328533278484621
spec_dur,0.3635399224451144,0.1346237812896394,0.2671319808710838,0.4510869220775713,cat,aei079,pen,l1_eng,4.173198239823081,2.5764645690199823,0.2692475625792788
f0_creak,0.33435209815862404,0.14148977961110748,0.23600547717603393,0.4238693420253584,cat,aei079,pen,l1_eng,4.173198239823081,2.5764645690199823,0.28297955922221496
