Feature,Importance (MDI),Std,q25,q75,Language,partID,lang_profile,pc1,pc2,Stdx2
vdur_ratio,0.15026386874771278,0.23598693128525924,0.0,0.23228744939271267,cat,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.4719738625705185
syldur_ratio,0.183647953865506,0.26778727108263417,0.0,0.32490778227620304,cat,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.5355745421652683
s_deltaF_dist_ratio,0.05734847884456901,0.14213475990997596,0.0,0.0,cat,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.2842695198199519
p_deltaF_dist_ratio,0.1121619915119084,0.21160986130332018,0.0,0.14570614570614587,cat,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.42321972260664037
f0_ratio,0.09728170816318446,0.21135178497841894,0.0,0.08887749677223332,cat,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.4227035699568379
spectilt_ratio,0.10281866243407828,0.20095104878569683,0.0,0.12755102040816327,cat,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.40190209757139367
creak_ratio,0.296477336433041,0.3463637114563557,0.0,0.5555555555555555,cat,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.6927274229127114
vdur_ratio,0.16099957776440119,0.11241653713758415,0.07809593060709129,0.22096837517845747,eng,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.2248330742751683
syldur_ratio,0.15306439738313976,0.09272909943934363,0.07929972635765321,0.21366490235051505,eng,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.18545819887868725
s_deltaF_dist_ratio,0.10940793243141017,0.08139635716440133,0.04930168187796167,0.15245254436009928,eng,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.16279271432880266
p_deltaF_dist_ratio,0.13265254421004535,0.08993826604594124,0.06506489187489599,0.18990889170796377,eng,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.17987653209188248
f0_ratio,0.13374999932864406,0.0938826661730676,0.06007623805193579,0.1948628525782357,eng,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.1877653323461352
spectilt_ratio,0.18672573483488736,0.11235663906201286,0.10034535176513007,0.26815333393458396,eng,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.22471327812402572
creak_ratio,0.1233998140474722,0.08710988121076703,0.057454167181324095,0.18184172305060411,eng,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.17421976242153406
vdur_ratio,0.2478615055477443,0.25783194691820244,0.0,0.4517396432257113,spa,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.5156638938364049
syldur_ratio,0.20861246007238698,0.23576865162028124,0.0,0.3757221107066308,spa,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.4715373032405625
s_deltaF_dist_ratio,0.16668188838145645,0.20261572001044728,0.0,0.2821323413428677,spa,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.40523144002089456
p_deltaF_dist_ratio,0.11689305138204097,0.14904686467169123,0.0,0.1908850269752525,spa,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.29809372934338246
f0_ratio,0.09485588529823676,0.14131907332665455,0.0,0.13248384841323635,spa,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.2826381466533091
spectilt_ratio,0.09575432789599898,0.12757832601710548,0.0,0.15436974789915972,spa,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.25515665203421095
creak_ratio,0.06934088142213549,0.10166337859569613,0.0,0.12025012025012027,spa,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.20332675719139226
vdur_ratio,0.15182831580392173,0.12155983145579881,0.06062467117972496,0.2147213761490941,cat,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.24311966291159762
syldur_ratio,0.2371098652909841,0.14825396217126213,0.11587362975509795,0.34062817849540195,cat,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.29650792434252426
s_deltaF_dist_ratio,0.0938376400383295,0.07926231547525972,0.03587957313112994,0.13927356029110008,cat,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.15852463095051944
