dur_period,vowel_periph,Label,partID,Language,word,stress,f0,syllable,lang_profile,pc1,pc2
-3.4206029296499896,-0.3721690675755089,i,afs116,cat,eliminar,0,0.7964819940061936,pen,l1_eng,6.165043938888648,2.9911835511439766
2.2675988924259007,-0.2890579881363618,a,afs116,cat,eliminar,1,3.0845416393955807,ult,l1_eng,6.165043938888648,2.9911835511439766
1.6384591540000364,2.7737887520572926,i,afs116,cat,discriminar,0,1.7957403753038244,pen,l1_eng,6.165043938888648,2.9911835511439766
2.961627267264428,-0.5080499112440275,a,afs116,cat,discriminar,1,3.107272965381092,ult,l1_eng,6.165043938888648,2.9911835511439766
2.764182968551397,2.762350048771172,i,afs116,cat,encaminar,0,1.954304317194552,pen,l1_eng,6.165043938888648,2.9911835511439766
2.932600191633472,0.1469278806419956,a,afs116,cat,encaminar,1,2.9927856258020658,ult,l1_eng,6.165043938888648,2.9911835511439766
2.9244466809251355,2.4463134555333474,i,afs116,cat,exterminar,0,1.882371640900549,pen,l1_eng,6.165043938888648,2.9911835511439766
3.123624337276621,0.3246277658589627,a,afs116,cat,exterminar,1,2.4439614486066525,ult,l1_eng,6.165043938888648,2.9911835511439766
2.0320665032779446,2.5691061704981464,i,afs116,cat,descaminar,0,1.8186044158352828,pen,l1_eng,6.165043938888648,2.9911835511439766
3.4311623161524625,0.0836592193701248,a,afs116,cat,descaminar,1,2.4283305545846385,ult,l1_eng,6.165043938888648,2.9911835511439766
2.266177499705521,2.363971544922647,i,afs116,cat,abominar,0,1.6172597798931778,pen,l1_eng,6.165043938888648,2.9911835511439766
3.8028264816305177,0.2014915313984747,a,afs116,cat,abominar,1,1.765824649762443,ult,l1_eng,6.165043938888648,2.9911835511439766
-0.6483109469795827,2.3526151766051204,i,afs116,cat,disseminar,0,-0.6647248003738639,pen,l1_eng,6.165043938888648,2.9911835511439766
2.017438601403823,0.1322747160441175,a,afs116,cat,disseminar,1,-0.6005086735746884,ult,l1_eng,6.165043938888648,2.9911835511439766
