Feature,Importance (MDI),Std,q25,q75,Language,partID,lang_profile,pc1,pc2,Stdx2
spec_dur_vowel1,0.12932646601167685,0.23347770893121095,0.0,0.21414511551043638,cat,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.4669554178624219
vowel_periph_vowel1,0.20540687906000757,0.31475046058016215,0.0,0.3895813781448725,cat,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.6295009211603243
spec_dur_vowel2,0.33349212279117574,0.29359672134933396,0.0,0.5735567610147991,cat,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.5871934426986679
vowel_periph_vowel2,0.20767552769721653,0.2681264102444694,0.0,0.391334026612472,cat,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.5362528204889389
f0_creak_ratio,0.12409900443992318,0.21104271685836284,0.0,0.22172147710311169,cat,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.4220854337167257
spec_dur_vowel1,0.38727407691620347,0.1303783803524507,0.2961365501876672,0.474543172337348,eng,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.2607567607049014
vowel_periph_vowel1,0.19133158353363525,0.1030725901840144,0.11865990324884523,0.26574356107541997,eng,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.2061451803680288
spec_dur_vowel2,0.1594794775191418,0.10347952911472919,0.08047644304010092,0.2242907951703687,eng,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.20695905822945837
vowel_periph_vowel2,0.13450291253681454,0.0841822330224139,0.0751093780604692,0.18201229542347644,eng,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.1683644660448278
f0_creak_ratio,0.12741194949420498,0.08123470790009489,0.06595215605346745,0.18057245104565586,eng,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.16246941580018978
spec_dur_vowel1,0.1511658643228019,0.16478682922723928,0.0,0.2397788675688467,spa,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.32957365845447856
vowel_periph_vowel1,0.35279837920866536,0.2043742200402598,0.2030487474314894,0.4889920290137956,spa,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.4087484400805196
spec_dur_vowel2,0.14923065602044255,0.14705451980704526,0.0,0.23077118126410295,spa,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.2941090396140905
vowel_periph_vowel2,0.1932085172700853,0.17608780563064141,0.0,0.31902288195659534,spa,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.35217561126128283
f0_creak_ratio,0.15359658317800493,0.1545550428896317,0.0,0.2617159644339808,spa,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.3091100857792634
spec_dur_vowel1,0.19183132378972895,0.10107162560848691,0.11433558242355199,0.25687927888135653,cat,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.20214325121697382
vowel_periph_vowel1,0.18748073012891672,0.11208517155517747,0.1082174465873279,0.25616499901501283,cat,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.22417034311035494
spec_dur_vowel2,0.21583701933551513,0.11723571866123945,0.1275065229371462,0.2878737853646039,cat,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.2344714373224789
vowel_periph_vowel2,0.22974876537742617,0.11340683058794584,0.1444146401140215,0.2942118598700151,cat,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.2268136611758917
