Feature,Importance (MDI),Std,q25,q75,Language,partID,lang_profile,pc1,pc2,Stdx2
f0_creak_ratio,0.3241420962860545,0.3279525928365826,0.009076104142242386,0.5291993720565149,cat,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.6559051856731652
spec_dur_ratio,0.2386242157389135,0.27427710883756057,0.0,0.39646464646464646,cat,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.5485542176751211
vowel_periph_ratio,0.4372336879750321,0.3502609757830989,0.0,0.7304147465437789,cat,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.7005219515661978
f0_creak_ratio,0.31947768329788506,0.10744450646062667,0.24401287430302387,0.3900221433850286,eng,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.21488901292125334
spec_dur_ratio,0.33933027883868905,0.11416540993642695,0.2595168804449964,0.41861410252800724,eng,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.2283308198728539
vowel_periph_ratio,0.341192037863426,0.1238540978074586,0.24751034612685255,0.42478287463518755,eng,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.2477081956149172
f0_creak_ratio,0.3218515243530969,0.18180621978515693,0.1844207691127981,0.4370100659574344,spa,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.36361243957031386
spec_dur_ratio,0.30477336459080884,0.19059313060953262,0.1625976362818468,0.43627867434852724,spa,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.38118626121906524
vowel_periph_ratio,0.37337511105609417,0.22228992105945813,0.20723029292688733,0.5359694989106754,spa,afs116,l1_eng,6.165043938888648,2.9911835511439766,0.44457984211891627
f0_creak_ratio,0.32148143467392054,0.11426870492321939,0.23956292629059178,0.39996633859127645,cat,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.22853740984643878
spec_dur_ratio,0.3640426654959126,0.11879905712605937,0.28151112131366096,0.4428552593998382,cat,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.23759811425211874
vowel_periph_ratio,0.3144758998301668,0.1206349802845793,0.22036803892833032,0.4013902575871329,cat,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.2412699605691586
f0_creak_ratio,0.34345827760856856,0.12111412792817085,0.2586470229424366,0.43386627176278925,eng,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.2422282558563417
spec_dur_ratio,0.3518530509724621,0.12197372929642857,0.2674676106466935,0.4265105043730564,eng,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.24394745859285713
vowel_periph_ratio,0.3046886714189692,0.11930452333318135,0.211612793191728,0.3969771176639798,eng,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.2386090466663627
f0_creak_ratio,0.3096665842397669,0.12043279356706099,0.2188421239269681,0.3860080330088909,spa,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.24086558713412198
spec_dur_ratio,0.4134405062087821,0.12783856469872412,0.32639610201014835,0.5034958151658875,spa,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.25567712939744824
vowel_periph_ratio,0.27689290955145107,0.11967132573446132,0.19193201552981523,0.3570537380227048,spa,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.23934265146892264
f0_creak_ratio,0.3383497269445764,0.121711036617301,0.244624316157201,0.41606902562347803,cat,irb111,l3_eng,-4.302326744326879,-0.0775427669154291,0.243422073234602
spec_dur_ratio,0.31534760222257613,0.1230984887730516,0.22779760145069744,0.4041350405878215,cat,irb111,l3_eng,-4.302326744326879,-0.0775427669154291,0.2461969775461032
vowel_periph_ratio,0.3463026708328476,0.1339328771461204,0.2514347434177787,0.4402488230748416,cat,irb111,l3_eng,-4.302326744326879,-0.0775427669154291,0.2678657542922408
f0_creak_ratio,0.4068626409506592,0.154392612590679,0.29423090260299567,0.5190221067828786,eng,irb111,l3_eng,-4.302326744326879,-0.0775427669154291,0.308785225181358
spec_dur_ratio,0.31168276110092835,0.15505152026180863,0.18838267430109212,0.40728810255414605,eng,irb111,l3_eng,-4.302326744326879,-0.0775427669154291,0.31010304052361726
