dur_period,vowel_periph,Filename,Label,partID,Language,t1_wd,t2_wd,word,stress,f0
-3.4206029296499896,-0.3721690675755089,afs116_catala_exp2_a.mat,i,afs116,cat,5.502011538289567,6.249100406259361,eliminar,0,0.7964819940061936
2.2675988924259007,-0.28905798813636185,afs116_catala_exp2_a.mat,a,afs116,cat,5.502011538289567,6.249100406259361,eliminar,1,3.0845416393955807
1.6384591540000364,2.7737887520572926,afs116_catala_exp2_a.mat,i,afs116,cat,10.8506,12.0906,discriminar,0,1.7957403753038244
2.961627267264428,-0.5080499112440275,afs116_catala_exp2_a.mat,a,afs116,cat,10.8506,12.0906,discriminar,1,3.107272965381092
2.7641829685513972,2.7623500487711716,afs116_catala_exp2_a.mat,i,afs116,cat,40.617488508411675,42.1002,encaminar,0,1.9543043171945518
2.9326001916334716,0.14692788064199566,afs116_catala_exp2_a.mat,a,afs116,cat,40.617488508411675,42.1002,encaminar,1,2.9927856258020658
2.9244466809251355,2.4463134555333474,afs116_catala_exp2_a.mat,i,afs116,cat,64.2661648560741,66.37334842918143,exterminar,0,1.8823716409005495
3.123624337276621,0.3246277658589627,afs116_catala_exp2_a.mat,a,afs116,cat,64.2661648560741,66.37334842918143,exterminar,1,2.4439614486066525
2.0320665032779446,2.5691061704981464,afs116_catala_exp2_a.mat,i,afs116,cat,77.2956,78.77856845925257,descaminar,0,1.8186044158352828
3.4311623161524625,0.08365921937012481,afs116_catala_exp2_a.mat,a,afs116,cat,77.2956,78.77856845925257,descaminar,1,2.4283305545846385
2.266177499705521,2.363971544922647,afs116_catala_exp2_a.mat,i,afs116,cat,87.39817102969572,89.4406,abominar,0,1.6172597798931778
3.8028264816305177,0.2014915313984747,afs116_catala_exp2_a.mat,a,afs116,cat,87.39817102969572,89.4406,abominar,1,1.765824649762443
-0.6483109469795827,2.3526151766051204,afs116_catala_exp2_b.mat,i,afs116,cat,44.2674,45.24986609197643,disseminar,0,-0.6647248003738639
2.017438601403823,0.13227471604411753,afs116_catala_exp2_b.mat,a,afs116,cat,44.2674,45.24986609197643,disseminar,1,-0.6005086735746884
-0.4405367632767612,2.0354075461038432,afs116_catala_exp2_b.mat,i,afs116,cat,51.9462,52.79596130505206,denominar,0,-0.9005957644944736
1.6883109351183496,0.016402153689093067,afs116_catala_exp2_b.mat,a,afs116,cat,51.9462,52.79596130505206,denominar,1,0.0063646616621294335
-0.41363801475546214,1.4936063120761713,afs116_catala_exp2_b.mat,i,afs116,cat,72.9067,74.00898365723762,desanimar,0,-1.1553779313177388
1.553669022259289,-0.1729391509214273,afs116_catala_exp2_b.mat,a,afs116,cat,72.9067,74.00898365723762,desanimar,1,-1.934928371889528
-0.9358479235887065,1.3097026887934995,afs116_catala_exp2_b.mat,i,afs116,cat,82.2257,83.2757,determinar,0,-0.7032688919956316
1.455623210997615,-0.1792209167972807,afs116_catala_exp2_b.mat,a,afs116,cat,82.2257,83.2757,determinar,1,0.15823085943449416
-0.06646320827146313,0.849911271527545,afs116_catala_exp2_b.mat,i,afs116,cat,91.9009,93.06530511914872,encamina,1,-0.8693243629114601
3.2996903705723857,-0.3032226187035333,afs116_catala_exp2_b.mat,a,afs116,cat,91.9009,93.06530511914872,encamina,0,3.7885323083431595
-0.6175997243283338,2.865575007452591,afs116_catala_exp2_b.mat,i,afs116,cat,100.5282,101.8582,recriminar,0,-1.342995207063786
2.2726424193784207,0.29552952702894725,afs116_catala_exp2_b.mat,a,afs116,cat,100.5282,101.8582,recriminar,1,2.1181331498307974
1.6467584959885868,3.3522483037653186,afs116_catala_exp2_c.mat,i,afs116,cat,19.741852857990505,20.938181913742554,incriminar,0,-0.1262162037496526
2.245682147766473,0.4725329233516363,afs116_catala_exp2_c.mat,a,afs116,cat,19.741852857990505,20.938181913742554,incriminar,1,-0.4200723516713468
-0.058996333466550525,0.7592277862768948,afs116_catala_exp2_c.mat,i,afs116,cat,36.067055812802195,36.77036273135116,il·luminar,0,-2.259568930424584
1.3669332135549093,0.36042231627301646,afs116_catala_exp2_c.mat,a,afs116,cat,36.067055812802195,36.77036273135116,il·luminar,1,-2.2692906854171606
1.3698536573798104,-0.16987229794047426,afs116_catala_exp2_c.mat,i,afs116,cat,49.70786774711466,50.4418,examinar,0,0.26372336556667214
-0.2793400056718832,-0.9529267523604296,afs116_catala_exp2_c.mat,a,afs116,cat,49.70786774711466,50.4418,examinar,1,-0.03481457228264525
0.11798962218058434,2.355893708353191,afs116_catala_exp2_c.mat,i,afs116,cat,55.4363,56.56264323937957,denomina,1,-1.392120196314425
2.5671779792273415,-0.4630389082036307,afs116_catala_exp2_c.mat,a,afs116,cat,55.4363,56.56264323937957,denomina,0,3.6331702124663954
1.2170399556838094,0.680930570292099,afs116_catala_exp2_c.mat,i,afs116,cat,62.635333326779374,63.45174421352535,encaminar,0,1.0681107625022779
0.8209500619381094,-1.1035512100082954,afs116_catala_exp2_c.mat,a,afs116,cat,62.635333326779374,63.45174421352535,encaminar,1,0.2056683599553824
-0.39363012071670067,1.5016411614877159,afs116_catala_exp2_c.mat,i,afs116,cat,86.6663,87.4861829361155,discriminar,0,-1.4899726237221664
1.2977878691305977,-0.07203273841789826,afs116_catala_exp2_c.mat,a,afs116,cat,86.6663,87.4861829361155,discriminar,1,-0.8274138050934057
-0.5497140110853768,0.09582795154324492,afs116_catala_exp2_c.mat,i,afs116,cat,93.43053820516387,94.13785569720073,eliminar,0,-1.1147813227536965
