Q1#1_1,Q1#1_2,Q1#1_3,Q10#1_1,Q10#1_2,Q10#1_3,Q10#1_4,Q11#1_1,Q11#1_2,Q11#1_3,Q11#1_4,Q12_1,Q12_2,Q12_3,Q13_1,Q13_2,Q13_3,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q15_3,Q16_1,Q16_2,Q16_3,Q16_5_1,Q16_5_2,Q16_5_3,Q17_1,Q17_2,Q17_3,Q18_1,Q18_2,Q18_3,Q2#1_1,Q2#1_2,Q2#1_3,Q3#1_1,Q3#1_2,Q3#1_3,Q4#1_1,Q4#1_2,Q4#1_3,Q5#1_1,Q5#1_2,Q5#1_3,Q6#1_1,Q6#1_2,Q6#1_3,Q7#1_1,Q7#1_2,Q7#1_3,Q7#1_4,Q8#1_1,Q8#1_2,Q8#1_3,Q8#1_4,Q9#1_1,Q9#1_2,Q9#1_3,Q9#1_4
0,0,6,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,6,6,5,6,6,6,6,6,5,6,6,5,6,6,6,5,6,4,5,5,5,5,6,5,0,0,14,18,18,16,20,20,1,20,20,0,5,2,5,7.0,2.0,1.0,0.0,1.0,9.0,0.0,0.0,6.0,0.0,4.0,0.0
10,20,0,2.0,2.0,6.0,0.0,2.0,2.0,6.0,0.0,5,4,6,5,5,6,6,6,6,5,4,6,5,6,6,5,6,6,6,6,6,4,4,3,17,20,0,9,0,16,2,2,19,0,0,20,4,2,4,2.0,4.0,4.0,0.0,0.0,0.0,10.0,0.0,1.0,3.0,6.0,0.0
13,20,0,4.0,1.0,5.0,0.0,0.0,0.0,10.0,0.0,6,1,6,6,3,6,6,5,6,6,1,6,4,2,6,3,1,5,6,4,6,6,2,3,20,20,0,9,0,16,1,1,20,0,0,20,1,1,2,3.0,2.0,5.0,0.0,0.0,0.0,10.0,0.0,4.0,3.0,3.0,0.0
0,3,6,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6,5,4,6,6,5,6,6,5,6,3,4,6,4,4,6,3,3,6,6,6,6,6,6,0,3,6,19,19,12,20,20,5,20,0,0,10,10,5,8.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0
14,20,0,1.0,0.0,9.0,0.0,0.0,0.0,10.0,0.0,4,1,6,5,2,6,4,2,6,3,1,6,1,0,6,0,0,6,4,2,6,0,0,6,20,21,0,4,1,16,5,3,20,1,0,20,4,1,6,3.0,0.0,7.0,0.0,0.0,0.0,10.0,0.0,3.0,1.0,6.0,0.0
0,0,7,0.0,7.0,3.0,0.0,5.0,5.0,0.0,0.0,5,6,6,6,6,6,6,6,6,5,6,6,4,6,5,4,6,5,6,6,6,5,6,5,9,0,7,13,13,11,20,20,1,2,20,0,5,5,5,2.0,7.0,1.0,0.0,0.0,10.0,0.0,0.0,6.0,3.0,1.0,0.0
11,18,0,2.0,2.0,5.0,1.0,2.0,1.0,6.0,1.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,6,6,6,6,6,6,6,16,20,0,12,4,20,3,3,20,2,2,20,3,0,13,4.0,2.0,4.0,1.0,0.0,0.0,10.0,0.0,4.0,1.0,4.0,1.0
10,20,0,2.0,1.0,7.0,0.0,1.0,0.0,9.0,0.0,6,3,6,6,4,6,6,4,6,6,2,6,5,2,6,3,2,6,6,6,6,6,6,6,16,20,0,11,1,18,4,3,20,1,2,20,8,3,15,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,9.0,0.0
14,20,0,4.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,5,4,6,5,4,6,5,5,6,5,4,6,6,5,5,4,5,6,6,4,6,6,6,6,20,20,0,4,0,17,3,2,20,2,2,20,3,2,8,2.0,1.0,7.0,0.0,6.0,1.0,3.0,0.0,8.0,0.0,2.0,0.0
0,0,4,4.0,4.0,2.0,0.0,1.0,9.0,0.0,0.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,3,6,6,5,6,6,0,0,0,13,19,19,16,20,20,0,20,20,5,3,1,3,4.0,2.0,4.0,0.0,4.0,1.0,5.0,0.0,2.0,0.0,8.0,0.0
0,3,5,7.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,6,6,5,6,6,4,6,6,5,6,6,4,6,5,5,6,6,4,6,6,6,6,6,0,0,0,12,8,8,8,20,20,1,20,0,0,4,4,1,5.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0
0,0,3,1.0,7.0,2.0,0.0,0.0,8.0,2.0,0.0,6,6,5,6,6,5,6,6,6,4,5,4,4,6,4,1,6,5,6,6,6,6,6,6,19,0,20,15,15,13,20,19,3,8,20,0,4,19,3,2.0,3.0,4.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,9.0,0.0
6,0,6,3.0,3.0,4.0,0.0,1.0,7.0,2.0,0.0,6,6,5,6,6,5,6,6,5,6,6,5,5,6,5,4,6,3,6,6,6,6,6,6,8,0,12,10,15,10,20,20,0,20,20,0,5,5,4,3.0,4.0,3.0,0.0,1.0,9.0,0.0,0.0,2.0,1.0,7.0,0.0
8,20,0,1.0,1.0,8.0,0.0,1.0,0.0,9.0,0.0,6,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,2,2,6,18,20,0,17,2,20,2,1,20,7,0,20,12,3,15,1.0,2.0,6.0,1.0,1.0,0.0,9.0,0.0,1.0,1.0,6.0,2.0
12,20,0,2.0,1.0,6.0,1.0,1.0,1.0,7.0,1.0,5,5,6,5,5,6,5,5,6,5,5,6,2,3,6,2,5,6,6,6,6,5,5,6,17,20,0,1,0,20,3,2,20,1,0,20,3,0,5,3.0,2.0,4.0,1.0,0.0,0.0,9.0,1.0,2.0,2.0,6.0,0.0
0,0,6,0.0,9.0,1.0,0.0,3.0,7.0,0.0,0.0,6,6,4,6,6,5,6,6,4,6,6,4,3,6,3,4,6,1,6,6,6,6,6,6,0,0,16,3,3,10,20,20,1,20,20,0,20,20,1,4.0,5.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,8.0,2.0,0.0
0,0,5,2.0,6.0,8.0,0.0,1.0,7.0,3.0,0.0,6,6,6,6,6,6,6,6,5,6,6,5,3,5,6,2,5,4,5,6,6,4,6,6,0,0,16,14,14,11,20,20,0,20,20,0,3,3,3,7.0,2.0,5.0,0.0,10.0,9.0,1.0,0.0,10.0,7.0,3.0,0.0
0,20,0,0.0,1.0,9.0,0.0,1.0,1.0,8.0,0.0,4,4,6,5,5,6,4,4,6,3,3,6,2,4,6,1,4,6,6,6,6,3,3,3,0,20,0,0,2,20,5,5,20,20,0,20,6,5,14,2.0,4.0,4.0,0.0,2.0,0.0,8.0,0.0,4.0,4.0,2.0,0.0
16,20,0,3.0,3.0,4.0,0.0,3.0,4.0,3.0,0.0,5,3,6,6,5,6,6,5,6,5,4,6,5,5,6,3,3,6,6,6,3,6,6,6,20,20,0,10,0,20,3,2,20,2,2,20,3,2,7,2.0,2.0,6.0,0.0,2.0,3.0,5.0,0.0,1.0,0.0,9.0,0.0
