Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H2Kc_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	H42Kc_mean	H2KH5Kc_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H2Ku_mean	H5Ku_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	H42Ku_mean	H2KH5Ku_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	oF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	oF1_mean	oF2_mean	oF3_mean	oF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	oB1_mean	oB2_mean	oB3_mean	oB4_mean	epoch_mean	soe_mean	
lrv099_catala_exp2_a.mat	"no"	6021.800	6201.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205.671	242.000	241.957	0	904.938	2564.061	3429.039	4486.213	678.806	2552.680	4021.967	4551.940	0	0	0	0	609.600	499.522	376.958	354.198	659.527	927.621	587.752	226.740	0	0	0	0	0.210	0.051	
lrv099_catala_exp2_a.mat	"són"	6201.800	6401.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219.230	277.963	269.874	0	843.392	2118.412	3396.814	4267.203	739.765	3285.609	4435.837	5001.670	0	0	0	0	377.744	602.376	226.249	291.493	525.052	774.213	639.779	1136.873	0	0	0	0	0.259	0.021	
lrv099_catala_exp2_a.mat	"necessaris"	6401.800	7261.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136.142	215.903	211.655	0	690.203	1993.220	3221.201	4276.195	866.392	2860.567	4238.009	4955.413	0	0	0	0	331.652	374.876	205.351	296.366	648.139	1019.263	842.487	425.550	0	0	0	0	0.188	0.025	
lrv099_catala_exp2_a.mat	"elimina"	7674.408	8083.331	10.783	14.574	19.797	9.417	2.983	9.771	3.368	-3.790	-5.223	1.366	7.800	1.012	16.429	19.187	24.316	1.392	30.531	39.529	43.211	43.794	0.073	19.069	8.463	0.602	18.884	-5.555	-6.701	-13.504	-15.819	10.606	7.861	0.185	24.624	25.770	14.106	1.379	206.819	196.887	203.161	205.230	0	375.533	2186.407	3043.224	4053.702	496.565	2442.776	3552.586	5029.315	0	0	0	0	143.933	297.845	206.410	360.764	323.594	1189.861	682.751	544.010	0	0	0	0	0.200	0.057	
lrv099_catala_exp2_a.mat	"segura"	8083.331	8571.800	5.962	8.182	10.964	5.422	-9.114	8.637	-0.090	-2.220	-2.782	0.540	15.076	-2.674	11.055	11.289	16.779	0.510	25.214	33.206	37.569	38.326	0.042	14.891	0.990	-8.397	14.850	-14.791	-13.803	-18.768	-11.380	13.901	9.388	0.041	29.682	28.694	10.371	-1.649	218.833	138.400	173.611	178.247	0	419.789	1419.639	2920.471	4052.323	780.270	2470.370	4253.408	5094.656	0	0	0	0	219.884	399.421	316.818	447.648	450.720	789.469	828.003	1027.591	0	0	0	0	0.171	0.032	
lrv099_catala_exp2_a.mat	"aquest"	10507.800	10857.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167.479	233.810	246.413	0	741.704	2101.120	3059.490	4329.373	722.863	2438.887	3831.796	4837.698	0	0	0	0	260.150	320.215	385.861	473.554	508.569	803.904	1144.062	612.384	0	0	0	0	0.188	0.018	
lrv099_catala_exp2_a.mat	"té"	10907.800	11037.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158.212	263.027	237.732	0	463.008	2070.611	3115.140	4235.503	699.352	2514.032	3647.092	4647.667	0	0	0	0	166.182	273.461	244.500	297.491	368.319	686.910	772.532	541.367	0	0	0	0	0.191	0.022	
lrv099_catala_exp2_a.mat	"menys"	11037.800	11307.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236.987	246.061	243.374	0	258.208	2219.837	3196.443	4206.902	465.954	2409.806	3911.602	4804.524	0	0	0	0	50.576	456.379	274.820	295.667	276.000	955.997	785.677	988.060	0	0	0	0	0.244	0.058	
lrv099_catala_exp2_a.mat	"sucre"	11307.800	11747.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135.482	200.275	214.036	0	492.254	1572.527	2897.181	4207.127	1184.568	2677.583	4272.432	4700.316	0	0	0	0	158.427	350.398	366.556	414.816	539.044	1086.900	1141.723	1392.675	0	0	0	0	0.175	0.028	
lrv099_catala_exp2_a.mat	"discrimina"	12207.800	12815.098	20.390	4.549	-12.554	-18.172	-17.580	-11.437	-16.133	15.841	17.104	38.563	37.970	31.827	3.578	0.292	25.498	2.369	34.889	42.500	45.894	45.470	0.032	21.154	8.005	3.937	6.875	-5.646	-5.960	-9.510	-16.425	13.149	4.068	14.279	26.800	27.114	13.447	6.668	203.452	150.867	207.062	199.955	0	548.563	2131.965	3092.334	4109.308	918.805	2877.026	4059.330	4746.078	0	0	0	0	249.780	356.346	338.537	427.183	514.867	831.694	855.696	742.984	0	0	0	0	0.189	0.052	
