SubjID,partID,block,trial,file1,filedur,loadtime,status,response,rt
16359bb43c36df,0,1,illegal_key,4,sounds/type_0,569,20,OK,dype,922
16359bb43c36df,0,1,illegal_key,0,sounds/type_20,569,15,OK,type,1461
16359bb43c36df,0,1,illegal_key,1,sounds/type_80,569,15,OK,type,788
16359bb43c36df,0,1,illegal_key,2,sounds/type_60,568,10,OK,type,756
16359bb43c36df,0,1,illegal_key,3,sounds/type_0,569,15,OK,dype,668
16359bb43c36df,0,1,illegal_key,4,sounds/type_40,570,10,OK,type,839
16359bbfaf2f3a,0,1,illegal_key,0,sounds/type_40,570,190,OK,type,1276
16359bbfaf2f3a,0,1,illegal_key,1,sounds/type_60,568,20,OK,type,598
16359bbfaf2f3a,0,1,illegal_key,2,sounds/type_80,569,15,OK,type,726
16359bbfaf2f3a,0,1,illegal_key,3,sounds/type_0,569,15,OK,dype,727
16359bbfaf2f3a,0,1,illegal_key,4,sounds/type_20,569,20,OK,type,854
16359bbfaf2f3a,0,1,illegal_key,0,sounds/type_60,568,15,OK,type,1049
16359bbfaf2f3a,0,1,illegal_key,1,sounds/type_0,569,10,OK,dype,706
16359bbfaf2f3a,0,1,illegal_key,2,sounds/type_20,569,15,OK,dype,948
16359bbfaf2f3a,0,1,illegal_key,3,sounds/type_80,569,20,OK,type,784
16359bbfaf2f3a,0,1,illegal_key,4,sounds/type_40,570,10,OK,type,1307
16359bbfaf2f3a,0,1,illegal_key,0,sounds/type_80,569,20,OK,type,1201
16359bbfaf2f3a,0,1,illegal_key,1,sounds/type_40,570,20,OK,type,835
16359bbfaf2f3a,0,1,illegal_key,2,sounds/type_60,568,20,OK,type,714
16359bbfaf2f3a,0,1,illegal_key,3,sounds/type_0,569,15,OK,dype,765
16359bbfaf2f3a,0,1,illegal_key,4,sounds/type_20,569,20,OK,type,981
16359c08398bb4,0,1,illegal_key,0,sounds/type_60,568,205,OK,dype,1576
16359c08398bb4,0,1,illegal_key,1,sounds/type_80,569,20,OK,type,813
16359c08398bb4,0,1,illegal_key,2,sounds/type_20,569,15,OK,dype,694
16359c08398bb4,0,1,illegal_key,3,sounds/type_40,570,15,OK,type,1002
16359c08398bb4,0,1,illegal_key,4,sounds/type_0,569,25,OK,dype,882
16359c08398bb4,0,1,illegal_key,0,sounds/type_80,569,15,OK,type,1201
16359c08398bb4,0,1,illegal_key,1,sounds/type_0,569,15,OK,dype,744
16359c08398bb4,0,1,illegal_key,2,sounds/type_60,568,15,OK,type,778
16359c08398bb4,0,1,illegal_key,3,sounds/type_20,569,15,OK,dype,719
16359c08398bb4,0,1,illegal_key,4,sounds/type_40,570,15,OK,type,848
16359c08398bb4,0,1,illegal_key,0,sounds/type_40,570,20,OK,type,1218
16359c08398bb4,0,1,illegal_key,1,sounds/type_0,569,15,OK,dype,591
16359c08398bb4,0,1,illegal_key,2,sounds/type_80,569,20,OK,type,924
16359c08398bb4,0,1,illegal_key,3,sounds/type_20,569,20,OK,type,841
16359c08398bb4,0,1,illegal_key,4,sounds/type_60,568,20,OK,type,653
16359d60f64c78,0,1,illegal_key,0,sounds/type_20,569,475,OK,type,3162
1635c12bca9f3e,0,1,illegal_key,0,sounds/type_80,569,195,OK,type,2340
1635c12bca9f3e,0,1,illegal_key,1,sounds/type_0,569,35,OK,dype,1885
1635c12bca9f3e,0,1,illegal_key,2,sounds/type_60,568,30,OK,type,1812
1635c12bca9f3e,0,1,illegal_key,3,sounds/type_20,569,35,OK,dype,2059
1635c12bca9f3e,0,1,illegal_key,4,sounds/type_40,570,30,OK,type,4114
1636035822df62,0,1,illegal_key,0,sounds/type_40,570,205,OK,dype,2233
163603aef77c4f,bad_value,1,illegal_key,0,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F5_dur3,401,580,OK,pondis,1681
163603aef77c4f,bad_value,1,illegal_key,1,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st6_dur4,413,250,OK,pondis,817
163603aef77c4f,bad_value,1,illegal_key,2,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st1_dur5,418,540,OK,pondis,798
163603aef77c4f,bad_value,1,illegal_key,3,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F3_st4,398,1570,OK,pondís,1192
163603aef77c4f,bad_value,1,illegal_key,4,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st3_dur5,418,960,OK,pondis,813
163603aef77c4f,bad_value,1,illegal_key,5,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F4_dur4,406,165,OK,pondis,884
163603aef77c4f,bad_value,1,illegal_key,6,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F3_st3,398,230,OK,pondis,754
163603aef77c4f,bad_value,1,illegal_key,7,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F3_st1,398,255,OK,pondís,857
163603aef77c4f,bad_value,1,illegal_key,8,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F1_dur2,397,95,OK,pondís,685
163603aef77c4f,bad_value,1,illegal_key,9,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st3_dur6,414,250,OK,pondis,1232
163603aef77c4f,bad_value,1,illegal_key,10,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F6_dur1,387,235,OK,pondís,798
163603aef77c4f,bad_value,1,illegal_key,11,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F5_st2,400,165,OK,pondís,836
163603aef77c4f,bad_value,1,illegal_key,12,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F2_dur4,406,270,OK,pondis,1044
163603aef77c4f,bad_value,1,illegal_key,13,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st1_dur4,413,265,OK,pondis,928
163603aef77c4f,bad_value,1,illegal_key,14,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F4_st4,399,265,OK,pondis,821
163603aef77c4f,bad_value,1,illegal_key,15,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F4_dur1,393,125,OK,pondís,819
163603aef77c4f,bad_value,1,illegal_key,16,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st6_dur5,418,280,OK,pondis,1008
163603aef77c4f,bad_value,1,illegal_key,17,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F3_st5,398,285,OK,pondis,1164
163603aef77c4f,bad_value,1,illegal_key,18,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F5_st6,400,275,OK,pondis,1178
163603aef77c4f,bad_value,1,illegal_key,19,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st6_dur6,414,225,OK,pondís,828
163603aef77c4f,bad_value,1,illegal_key,20,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F6_st1,392,310,OK,pondís,1113
163603aef77c4f,bad_value,1,illegal_key,21,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F2_dur2,397,300,OK,pondís,975
163603aef77c4f,bad_value,1,illegal_key,22,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st4_dur3,409,300,OK,pondis,1056
163603aef77c4f,bad_value,1,illegal_key,23,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st2_dur2,404,310,OK,pondís,762
163603aef77c4f,bad_value,1,illegal_key,24,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F1_st2,398,115,OK,pondis,1022
163603aef77c4f,bad_value,1,illegal_key,25,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F5_st4,400,285,OK,pondís,1070
163603aef77c4f,bad_value,1,illegal_key,26,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st2_dur4,413,125,OK,pondís,1029
163603aef77c4f,bad_value,1,illegal_key,27,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st3_dur4,413,290,OK,pondís,862
163603aef77c4f,bad_value,1,illegal_key,28,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st5_dur5,418,280,OK,pondis,1094
163603aef77c4f,bad_value,1,illegal_key,29,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st2_dur6,414,290,OK,pondís,864
163603aef77c4f,bad_value,1,illegal_key,30,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st5_dur6,414,295,OK,pondis,1142
163603aef77c4f,bad_value,1,illegal_key,31,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st1_dur3,409,305,OK,pondís,968
163603aef77c4f,bad_value,1,illegal_key,32,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F1_dur4,406,280,OK,pondís,1097
163603aef77c4f,bad_value,1,illegal_key,33,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st3_dur2,404,225,OK,pondís,867
163603aef77c4f,bad_value,1,illegal_key,34,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F5_dur6,407,305,OK,pondís,768
163603aef77c4f,bad_value,1,illegal_key,35,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F2_st4,398,1385,OK,pondís,1034
163603aef77c4f,bad_value,1,illegal_key,36,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F4_st2,399,405,OK,pondís,870
163603aef77c4f,bad_value,1,illegal_key,37,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F4_st5,399,870,OK,pondís,912
163603aef77c4f,bad_value,1,illegal_key,38,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st4_dur1,400,845,OK,pondís,747
163603aef77c4f,bad_value,1,illegal_key,39,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F5_dur2,397,3470,OK,pondís,1503
163603aef77c4f,bad_value,1,illegal_key,40,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F6_dur2,391,875,OK,pondís,1028
163603aef77c4f,bad_value,1,illegal_key,41,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st1_dur6,415,285,OK,pondis,1231
163603aef77c4f,bad_value,1,illegal_key,42,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st2_dur5,418,1815,OK,pondis,1303
163603aef77c4f,bad_value,1,illegal_key,43,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st4_dur5,418,2640,OK,pondis,1131
163603aef77c4f,bad_value,1,illegal_key,44,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st2_dur3,408,3125,OK,pondis,927
163603aef77c4f,bad_value,1,illegal_key,45,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F3_dur1,391,530,OK,pondís,1097
163603aef77c4f,bad_value,1,illegal_key,46,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F1_dur1,393,510,OK,pondís,1052
163603aef77c4f,bad_value,1,illegal_key,47,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F3_dur4,404,505,OK,pondís,1041
163603aef77c4f,bad_value,1,illegal_key,48,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F2_st6,398,1860,OK,pondis,1140
163603aef77c4f,bad_value,1,illegal_key,49,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F5_st3,400,1390,OK,pondís,1228
163603aef77c4f,bad_value,1,illegal_key,50,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st5_dur2,404,585,OK,pondis,940
163603aef77c4f,bad_value,1,illegal_key,51,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F2_st1,398,2765,OK,pondís,2314
163603aef77c4f,bad_value,1,illegal_key,52,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F3_dur2,395,510,OK,pondís,1190
163603aef77c4f,bad_value,1,illegal_key,53,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F2_st2,398,1695,OK,pondís,1124
163603aef77c4f,bad_value,1,illegal_key,54,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F1_st6,398,840,OK,pondís,1224
163603aef77c4f,bad_value,1,illegal_key,55,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F3_dur3,400,2015,OK,pondís,1266
163603aef77c4f,bad_value,1,illegal_key,56,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F6_dur5,405,440,OK,pondís,1039
163603aef77c4f,bad_value,1,illegal_key,57,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F4_dur6,408,2255,OK,pondís,1139
163603aef77c4f,bad_value,1,illegal_key,58,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F4_dur5,411,1675,OK,pondís,883
163603aef77c4f,bad_value,1,illegal_key,59,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st1_dur2,404,425,OK,pondis,969
163603aef77c4f,bad_value,1,illegal_key,60,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F5_st1,400,475,OK,pondis,1011
163603aef77c4f,bad_value,1,illegal_key,61,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F6_st2,392,470,OK,pondis,815
163603aef77c4f,bad_value,1,illegal_key,62,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st3_dur3,409,245,OK,pondis,1172
163603aef77c4f,bad_value,1,illegal_key,63,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F1_st1,393,1425,OK,pondís,1168
163603aef77c4f,bad_value,1,illegal_key,64,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st4_dur2,404,4280,OK,pondís,1303
163603aef77c4f,bad_value,1,illegal_key,65,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F4_dur3,402,435,OK,pondís,1022
163603aef77c4f,bad_value,1,illegal_key,66,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F3_dur5,408,1185,OK,pondis,1060
163603aef77c4f,bad_value,1,illegal_key,67,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F6_dur3,396,290,OK,pondís,967
163603aef77c4f,bad_value,1,illegal_key,68,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F1_dur6,407,855,OK,pondís,1207
163603aef77c4f,bad_value,1,illegal_key,69,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F1_st4,398,460,OK,pondís,1139
163603aef77c4f,bad_value,1,illegal_key,70,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F2_dur5,411,2195,OK,pondís,902
163603aef77c4f,bad_value,1,illegal_key,71,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F5_dur5,410,890,OK,pondís,910
163603aef77c4f,bad_value,1,illegal_key,72,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st4_dur4,413,200,OK,pondís,955
163603aef77c4f,bad_value,1,illegal_key,73,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F4_st3,399,385,OK,pondís,954
163603aef77c4f,bad_value,1,illegal_key,74,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F6_st5,392,1290,OK,pondis,1746
163603aef77c4f,bad_value,1,illegal_key,75,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F6_st6,393,405,OK,pondís,1294
163603aef77c4f,bad_value,1,illegal_key,76,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F4_st1,399,690,OK,pondís,1361
163603aef77c4f,bad_value,1,illegal_key,77,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F6_st3,393,420,OK,pondís,1137
163603aef77c4f,bad_value,1,illegal_key,78,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F6_st4,393,1545,OK,pondis,1387
163603aef77c4f,bad_value,1,illegal_key,79,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F5_dur4,405,1455,OK,pondis,1191
163603aef77c4f,bad_value,1,illegal_key,80,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st1_dur1,400,965,OK,pondis,1105
163603aef77c4f,bad_value,1,illegal_key,81,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F3_dur6,405,1200,OK,pondis,1215
163603aef77c4f,bad_value,1,illegal_key,82,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F5_st5,400,575,OK,pondis,1181
163603aef77c4f,bad_value,1,illegal_key,83,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F2_dur1,393,1120,OK,pondís,917
163603aef77c4f,bad_value,1,illegal_key,84,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F6_dur4,400,475,OK,pondís,1278
163603aef77c4f,bad_value,1,illegal_key,85,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st5_dur1,400,5140,OK,pondis,1170
163603aef77c4f,bad_value,1,illegal_key,86,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F4_st6,399,1170,OK,pondis,1180
163603aef77c4f,bad_value,1,illegal_key,87,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F6_dur6,409,2755,OK,pondís,1278
163603aef77c4f,bad_value,1,illegal_key,88,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F2_dur3,402,2795,OK,pondis,987
163603aef77c4f,bad_value,1,illegal_key,89,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st5_dur3,409,1040,OK,pondís,1005
163603aef77c4f,bad_value,1,illegal_key,90,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st6_dur1,400,495,OK,pondis,1073
163603aef77c4f,bad_value,1,illegal_key,91,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F5_dur1,392,1920,OK,pondís,1297
163603aef77c4f,bad_value,1,illegal_key,92,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F1_dur3,402,1810,OK,pondis,891
163603aef77c4f,bad_value,1,illegal_key,93,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st3_dur1,400,2155,OK,pondís,994
163603aef77c4f,bad_value,1,illegal_key,94,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F3_st6,398,600,OK,pondis,1108
163603aef77c4f,bad_value,1,illegal_key,95,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F1_st3,398,3200,OK,pondis,1071
163603aef77c4f,bad_value,1,illegal_key,96,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/st4_dur6,414,400,OK,pondís,1250
163603aef77c4f,bad_value,1,illegal_key,97,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F2_st5,398,820,OK,pondis,948
163603aef77c4f,bad_value,1,illegal_key,98,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/span_perception_stimuli/F4_dur2,398,465,OK,pondís,957
