SubjID,partID,list,block,trial,file1,filedur,loadtime,status,response,rt
1636e84f00f216,0,1,1,0,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f6_s1,451,465,OK,pondís,1272
1636e84f00f216,0,1,1,1,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f4_dur4,482,115,OK,pondís,438
1636e84f00f216,0,1,1,2,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/st4_dur6,447,110,OK,pondís,502
1636e84f00f216,0,1,1,3,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f3_dur2,483,125,OK,pondís,416
1636e84f00f216,0,1,1,4,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f6_dur1,484,205,OK,pondís,612
1636e84f00f216,0,1,1,5,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f1_s1,441,85,OK,pondís,632
1636e84f00f216,0,1,1,6,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f2_dur1,484,95,OK,pondís,224
1636e84f00f216,0,1,1,7,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f1_dur6,474,125,OK,pondís,486
1636e84f00f216,0,1,1,8,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f6_dur6,477,235,OK,pondis,639
1636e84f00f216,0,1,1,9,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/st5_dur4,448,150,OK,pondís,806
1636e84f00f216,0,1,1,10,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f4_s1,441,305,OK,pondis,798
1636e84f00f216,0,1,1,11,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/st3_dur6,447,135,OK,pondís,782
1636e84f00f216,0,1,1,12,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/st5_dur6,447,275,OK,pondís,747
1636e84f00f216,0,1,1,13,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f5_dur3,476,100,OK,pondís,583
1636e84f00f216,0,1,1,14,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f2_dur6,474,240,OK,pondis,746
1636e84f00f216,0,1,1,15,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f4_s2,441,80,OK,pondis,646
1636e84f00f216,0,1,1,16,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/st3_dur1,449,130,OK,pondís,624
1636e84f00f216,0,1,1,17,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f6_s6,451,95,OK,pondis,420
1636e84f00f216,0,1,1,18,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f5_s2,450,140,OK,pondís,683
