Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	
ala054_catala_exp2_d.mat	"a"	57615.961	57678.700	0	0	0	0	0	0	0	0	0	0	0	0	3.273	0	0	0	0	0.393	0	0	0	0	0	0	0	0	0	0	0	105.534	105.670	106.287	106.258	534.738	1501.674	2121.938	3594.349	668.635	1525.783	2054.167	3669.770	428.762	164.372	557.520	256.424	470.524	213.257	860.775	255.100	
ala054_catala_exp2_d.mat	"i"	62906.420	62946.400	0	0	0	0	0	0	0	0	0	0	0	0	3.887	0	0	0	0	0.924	0	0	0	0	0	0	0	0	0	0	0	117.412	117.619	118.272	118.225	282.880	2431.662	2735.050	3804.829	357.125	2262.993	2568.415	3687.702	81.230	211.100	281.946	179.149	133.535	719.295	229.538	180.879	
ala054_catala_exp2_d.mat	"a"	63008.861	63066.400	0	0	0	0	0	0	0	0	0	0	0	0	3.616	0	0	0	0	0.785	0	0	0	0	0	0	0	0	0	0	0	106.146	105.479	106.815	106.430	460.994	1665.498	2521.842	3922.628	550.163	1629.451	2479.564	3984.761	409.314	106.291	152.972	263.844	146.415	143.506	289.916	373.322	
ala054_catala_exp2_d.mat	"i"	69433.362	69478.800	0	0	0	0	0	0	0	0	0	0	0	0	4.227	0	0	0	0	0.579	0	0	0	0	0	0	0	0	0	0	0	109.670	109.678	110.942	121.877	379.058	2227.658	2636.058	3581.602	406.998	2186.820	2561.484	3578.855	129.002	180.443	383.138	243.440	100.560	626.448	509.560	295.237	
ala054_catala_exp2_d.mat	"a"	69535.285	69598.800	0	0	0	0	0	0	0	0	0	0	0	0	3.324	0	0	0	0	0.380	0	0	0	0	0	0	0	0	0	0	0	104.188	104.006	103.683	103.610	592.759	1418.918	3181.429	4116.622	753.759	1432.729	2559.965	3692.143	546.799	166.120	708.634	625.663	435.656	457.570	1527.256	731.724	
ala054_catala_exp2_d.mat	"i"	75567.439	75598.600	0	0	0	0	0	0	0	0	0	0	0	0	5.031	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	115.410	116.256	115.774	115.067	344.049	2098.492	2608.154	3620.701	405.222	2043.359	2478.549	3566.314	111.722	267.881	287.996	288.028	139.378	459.291	403.186	272.146	
ala054_catala_exp2_d.mat	"a"	75660.448	75708.600	0	0	0	0	0	0	0	0	0	0	0	0	6.226	0	0	0	0	0.411	0	0	0	0	0	0	0	0	0	0	0	117.605	116.357	117.741	118.043	542.494	1547.364	2419.288	3833.522	585.615	1557.312	2412.773	3818.371	278.473	136.844	464.304	418.543	211.390	142.064	522.766	622.441	
ala054_catala_exp2_d.mat	"i"	82906.975	82952.566	0	0	0	0	0	0	0	0	0	0	0	0	5.641	0	0	0	0	0.090	0	0	0	0	0	0	0	0	0	0	0	116.751	116.584	117.412	117.343	322.598	2283.592	2743.329	3695.380	397.715	2229.570	2627.794	3712.367	123.883	126.694	247.528	219.878	134.735	654.880	378.048	372.872	
ala054_catala_exp2_d.mat	"a"	83006.698	83062.135	0	0	0	0	0	0	0	0	0	0	0	21.967	5.779	18.207	21.646	22.244	23.195	0.521	0	0	0	0	0	0	0	0	0	0	0	112.837	111.993	112.470	112.975	526.650	1551.074	2261.657	3984.308	734.390	1585.437	2337.550	3813.288	425.200	157.674	381.979	678.144	525.059	157.806	478.645	500.653	
ala054_catala_exp2_d.mat	"i"	88674.457	88708.000	0	0	0	0	0	0	0	0	0	0	0	0	6.587	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	128.079	128.813	128.571	128.860	335.756	2215.552	2724.687	3636.775	422.598	2142.580	2588.532	3560.691	112.572	115.869	188.612	240.914	133.911	283.077	260.097	250.140	
ala054_catala_exp2_d.mat	"a"	88748.000	88808.000	0	0	0	0	0	0	0	0	0	0	0	21.567	7.088	18.699	22.996	23.398	24.346	0.217	0	0	0	0	0	0	0	0	0	0	0	121.877	119.568	121.221	121.480	503.083	1574.088	2277.792	3508.231	600.080	1586.213	2305.773	3615.368	394.159	129.181	313.624	421.241	315.454	162.146	361.859	314.628	
ala054_catala_exp2_d.mat	"i"	94018.330	94056.383	0	0	0	0	0	0	0	0	0	0	0	0	3.129	0	0	0	0	0.601	0	0	0	0	0	0	0	0	0	0	0	106.373	106.434	106.779	107.037	361.266	2199.642	2595.965	3807.126	446.897	2063.218	2407.427	3619.588	130.977	179.972	373.463	269.105	159.777	767.798	415.710	808.099	
ala054_catala_exp2_d.mat	"a"	94110.698	94161.900	0	0	0	0	0	0	0	0	0	0	0	21.441	2.349	16.274	22.208	22.936	24.417	0.625	0	0	0	0	0	0	0	0	0	0	0	102.087	101.091	100.660	101.724	616.402	1597.726	2523.580	3947.803	621.553	1583.353	2484.975	3773.973	339.457	90.607	260.710	585.412	216.145	92.325	368.850	725.042	
ala054_catala_exp2_d.mat	"i"	99293.276	99344.300	0	0	0	0	0	0	0	0	0	0	0	0	3.104	0	0	0	0	0.577	0	0	0	0	0	0	0	0	0	0	0	108.368	108.577	108.773	109.188	287.541	887.381	2443.184	3855.432	430.730	1962.277	2716.980	3661.182	73.604	395.343	233.294	387.970	325.606	1633.496	348.800	411.849	
ala054_catala_exp2_d.mat	"a"	99404.300	99464.300	0	0	0	0	0	0	0	0	0	0	0	0	2.563	0	0	0	0	0.698	0	0	0	0	0	0	0	0	0	0	0	102.766	101.973	104.298	112.515	402.038	1772.084	2512.217	3889.684	543.189	1662.639	2442.669	3965.073	250.554	284.523	202.623	327.461	201.194	360.536	287.532	413.020	
ala054_spanish_exp2_a.mat	"i"	2436.478	2464.584	0	0	0	0	0	0	0	0	0	0	0	0	5.584	0	0	0	0	0.854	0	0	0	0	0	0	0	0	0	0	0	112.478	112.807	113.271	112.941	342.997	2145.488	2636.127	3655.917	409.305	2142.021	2602.029	3489.530	127.910	435.926	432.633	438.786	174.204	490.708	680.949	562.022	
ala054_spanish_exp2_a.mat	"o"	2541.726	2590.000	0	0	0	0	0	0	0	0	0	0	0	0	9.979	0	0	0	0	0.061	0	0	0	0	0	0	0	0	0	0	0	110.065	109.539	110.676	110.958	520.120	1199.724	2238.428	3382.750	622.845	1246.748	2749.071	3727.043	192.447	81.354	336.043	296.884	633.640	242.630	744.920	642.329	
ala054_spanish_exp2_a.mat	"i"	7393.775	7419.421	0	0	0	0	0	0	0	0	0	0	0	0	4.117	0	0	0	0	0.809	0	0	0	0	0	0	0	0	0	0	0	110.836	111.095	111.754	111.328	369.898	2049.339	2518.521	3722.126	427.793	2089.448	2608.422	3694.537	137.274	498.000	410.028	413.461	224.021	251.294	898.818	644.013	
ala054_spanish_exp2_a.mat	"o"	7493.700	7553.700	0	0	0	0	0	0	0	0	0	0	0	0	6.415	0	0	0	0	0.308	0	0	0	0	0	0	0	0	0	0	0	109.304	108.883	109.320	110.158	536.500	1418.042	2477.977	4032.144	601.906	1486.415	2709.154	3872.549	213.989	118.154	341.562	558.644	496.609	286.491	440.329	394.501	
ala054_spanish_exp2_a.mat	"i"	13089.388	13131.900	0	0	0	0	0	0	0	0	0	0	0	0	6.427	0	0	0	0	0.578	0	0	0	0	0	0	0	0	0	0	0	115.565	114.979	115.426	115.778	326.984	1654.043	2408.974	4186.550	521.500	1971.555	2852.515	3586.066	125.189	424.414	333.628	272.031	455.524	558.623	809.618	485.932	
ala054_spanish_exp2_a.mat	"o"	13174.270	13250.848	0	0	0	0	0	0	0	0	0	0	0	21.719	6.583	16.981	22.399	24.091	24.808	0.743	0	0	0	0	0	0	0	0	0	0	0	115.172	114.338	114.687	122.194	450.988	1309.733	2390.045	4028.039	556.170	1449.181	2824.437	3851.273	218.726	100.430	336.335	231.634	782.324	417.172	531.562	559.873	
ala054_spanish_exp2_a.mat	"i"	19189.897	19216.358	0	0	0	0	0	0	0	0	0	0	0	0	8.494	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	114.141	114.628	115.754	115.612	315.684	1899.887	2514.894	3645.781	401.760	1869.142	2450.991	3743.393	94.923	286.265	196.522	556.376	272.351	797.677	377.675	724.856	
ala054_spanish_exp2_a.mat	"o"	19307.771	19371.700	0	0	0	0	0	0	0	0	0	0	0	0	7.311	0	0	0	0	0.368	0	0	0	0	0	0	0	0	0	0	0	116.973	116.316	116.697	116.509	461.310	1350.130	2408.608	3648.846	607.429	1386.674	2534.165	3941.703	250.653	242.583	237.367	317.141	463.526	395.964	632.197	318.135	
ala054_spanish_exp2_a.mat	"i"	24954.809	25044.588	14.869	16.421	14.592	-2.146	1.426	4.834	-1.552	1.828	17.015	13.442	10.035	21.837	2.156	22.524	29.925	31.072	29.122	0.546	15.806	20.948	19.576	15.548	-0.946	-2.427	-5.142	1.372	0.258	16.752	18.233	104.470	104.423	104.394	110.312	323.865	2322.518	3197.907	4204.904	411.157	2302.483	2825.283	3623.935	120.812	310.089	343.976	219.593	168.789	671.707	1022.894	449.699	
ala054_spanish_exp2_a.mat	"o"	25142.031	25369.700	9.005	7.409	-1.287	-9.304	-7.901	-1.519	1.596	8.696	18.310	16.907	10.525	21.756	2.977	21.371	22.625	28.426	31.758	0.059	9.486	9.455	10.825	15.892	10.127	-10.508	0.031	-1.370	-6.407	-0.642	19.994	100.200	76.543	100.634	115.118	479.832	1006.844	2465.764	3692.698	594.709	1089.223	2620.223	3880.914	165.057	170.609	360.683	388.797	554.824	478.070	443.173	541.688	
ala054_spanish_exp2_a.mat	"i"	31014.031	31060.600	0	0	0	0	0	0	0	0	0	0	0	0	4.642	0	0	0	0	0.813	0	0	0	0	0	0	0	0	0	0	0	112.646	112.616	112.715	112.737	348.965	2370.640	3538.754	4152.917	381.944	2404.069	2746.040	3646.546	133.231	176.402	196.813	172.293	111.875	201.170	843.500	199.984	
ala054_spanish_exp2_a.mat	"o"	31151.468	31220.600	0	0	0	0	0	0	0	0	0	0	0	0	5.289	0	0	0	0	0.106	0	0	0	0	0	0	0	0	0	0	0	100.597	100.389	100.932	100.756	474.788	1075.146	2322.278	3522.681	593.311	1227.126	2709.205	3771.120	213.545	83.802	297.667	340.067	609.134	362.757	408.600	557.310	
ala054_spanish_exp2_a.mat	"i"	36600.534	36653.124	0	0	0	0	0	0	0	0	0	0	0	0	5.949	0	0	0	0	0.139	0	0	0	0	0	0	0	0	0	0	0	117.676	117.841	117.915	118.554	308.464	2354.831	3341.696	4180.644	362.133	2099.527	2507.999	3652.790	90.400	176.669	276.124	236.884	172.662	940.411	516.422	340.272	
ala054_spanish_exp2_a.mat	"o"	36718.631	36806.800	18.117	18.353	7.240	1.435	0.853	8.855	-0.235	11.112	16.683	17.265	9.263	21.965	6.120	18.083	19.083	21.307	22.891	0.807	18.981	22.501	22.128	23.166	11.805	2.434	-3.520	0.373	-4.185	7.176	16.546	115.937	115.451	116.110	116.266	437.611	1324.820	2398.176	3470.629	569.563	1730.948	2744.238	3837.826	179.612	158.689	229.732	327.539	674.854	564.457	783.829	517.484	
ala054_spanish_exp2_a.mat	"i"	43000.667	43081.500	17.012	19.470	18.665	5.337	4.851	14.423	-2.458	0.805	11.675	12.161	2.589	22.142	5.358	18.352	28.345	30.914	28.605	0.766	18.172	25.380	19.234	21.892	1.147	4.115	-7.208	6.146	-3.720	17.025	14.058	109.767	109.019	110.295	110.428	320.646	2353.815	3360.821	3910.311	374.777	2357.647	3170.290	3743.329	121.337	204.070	278.704	245.645	139.764	385.628	788.043	324.898	
ala054_spanish_exp2_a.mat	"o"	43141.086	43333.916	18.533	21.111	8.535	-1.497	2.519	8.051	-2.578	12.576	20.030	16.014	10.482	24.514	9.799	23.167	20.462	23.727	24.077	0.497	19.083	23.500	22.872	23.919	20.661	2.101	-4.417	0.628	-4.837	-1.578	16.981	112.244	96.734	113.649	113.124	503.164	1123.958	2378.968	3250.959	685.274	1286.478	2745.305	3543.045	242.626	117.845	276.248	295.181	782.052	483.825	583.776	702.878	
ala054_spanish_exp2_a.mat	"i"	58122.442	58158.953	0	0	0	0	0	0	0	0	0	0	0	0	8.452	0	0	0	0	0.541	0	0	0	0	0	0	0	0	0	0	0	111.401	111.204	112.330	112.269	351.322	1939.185	2575.918	3480.467	415.181	2062.673	2800.995	3589.260	140.715	414.767	413.716	522.315	261.740	320.175	501.547	824.668	
ala054_spanish_exp2_a.mat	"o"	58213.069	58267.800	0	0	0	0	0	0	0	0	0	0	0	0	9.989	0	0	0	0	0.562	0	0	0	0	0	0	0	0	0	0	0	106.303	105.550	107.082	106.783	419.410	1349.753	2957.002	3996.616	762.616	1492.128	2848.495	3866.323	345.681	158.279	289.681	659.075	923.120	618.600	311.742	998.172	
ala054_spanish_exp2_a.mat	"i"	65184.591	65258.715	0	0	0	0	0	0	0	0	0	0	0	18.882	5.618	15.082	23.096	25.123	24.083	0.668	0	0	0	0	0	0	0	0	0	0	0	117.473	117.512	116.780	117.364	293.752	2327.964	3136.339	3868.229	360.963	2334.965	2949.715	3736.294	111.344	222.030	330.158	312.079	162.096	363.729	975.235	775.794	
