Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	
acj047_english_exp2_d.mat	"ult"	40663.267	40744.468	14.258	8.171	3.905	-12.725	-13.821	-3.764	6.087	4.266	26.983	28.079	18.022	21.146	2.272	24.398	25.588	27.620	28.529	0.372	15.536	8.911	10.591	14.413	6.375	-0.600	6.626	-1.680	1.123	9.161	16.136	185.797	186.015	185.237	186.430	963.333	1669.259	2780.786	3851.049	842.452	1516.200	2750.074	3847.310	301.141	330.916	224.099	392.532	429.787	331.245	330.730	530.728	
acj047_english_exp2_d.mat	"pen"	46446.798	46558.000	13.186	1.076	5.200	-0.194	5.251	0.069	12.110	-4.124	13.381	7.935	13.117	24.576	1.214	27.045	39.745	40.817	39.489	0.166	15.905	16.765	-3.923	16.764	2.025	1.922	-0.860	20.688	-0.859	13.880	13.983	179.911	179.569	181.551	181.115	349.477	2350.057	2826.304	4444.418	373.570	2319.376	2781.442	4396.847	90.944	221.615	256.910	507.151	80.138	183.961	216.993	1123.963	
acj047_english_exp2_d.mat	"ult"	46622.923	46838.000	11.207	8.780	-1.880	-10.923	-5.377	-6.302	2.428	10.660	22.130	16.584	17.510	19.927	0.935	21.018	25.923	28.230	27.401	0.235	12.095	13.249	7.692	13.011	2.218	-1.681	-1.154	5.557	-0.915	9.878	13.776	172.164	171.048	171.446	173.726	597.813	2335.424	3099.783	4395.843	602.688	2305.897	3096.556	4334.419	179.426	204.510	279.130	574.605	121.579	284.394	441.106	2187.119	
acj047_english_exp2_d.mat	"pen"	51423.103	51491.200	0	0	0	0	0	0	0	0	0	0	0	0	2.280	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	226.921	226.767	227.950	228.884	769.931	1805.362	2710.003	3926.244	700.544	1690.989	2604.291	3904.075	250.938	429.500	199.766	459.158	196.856	600.585	333.291	639.921	
acj047_english_exp2_d.mat	"ult"	51696.439	51791.364	11.173	5.995	5.429	2.638	9.774	4.848	5.178	0.567	8.535	1.399	6.325	21.923	4.037	20.050	35.963	39.272	35.275	0.393	15.222	18.288	-5.940	20.163	3.351	1.938	-3.067	24.229	-4.941	11.871	13.283	215.805	186.977	217.495	219.797	394.774	2793.331	3366.715	4495.175	514.938	2786.865	3379.941	4484.649	27.262	171.159	264.492	615.849	50.420	187.626	358.760	952.696	
acj047_english_exp2_d.mat	"pen"	57043.500	57113.500	0	0	0	0	0	0	0	0	0	0	0	0	2.717	0	0	0	0	0.566	0	0	0	0	0	0	0	0	0	0	0	203.682	200.911	204.360	205.750	368.414	2018.125	3132.655	4263.953	389.880	1974.518	3133.661	4706.070	83.689	249.181	180.749	864.646	74.982	271.368	254.003	831.654	
acj047_english_exp2_d.mat	"ult"	57217.988	57373.500	12.319	6.771	7.720	-7.413	2.477	-3.923	5.548	-0.949	19.732	9.842	16.242	22.488	1.923	30.516	33.314	31.340	34.325	0.166	14.208	16.222	5.385	13.911	10.384	6.228	-2.014	10.837	0.298	3.824	7.981	201.793	149.731	206.197	198.574	491.559	1817.876	2298.303	3966.560	578.492	1847.406	2334.949	4028.119	166.094	168.110	242.658	462.170	191.906	192.566	201.018	369.038	
acj047_english_exp2_d.mat	"pen"	62732.616	62854.989	18.354	3.451	-1.865	-12.338	-8.021	3.197	14.903	5.315	30.692	26.375	15.157	22.554	3.965	32.610	31.424	32.420	32.487	0.000	19.758	6.604	11.446	14.545	11.433	1.338	13.154	-4.842	5.214	8.325	18.420	240.052	239.707	241.452	234.273	791.419	1733.008	3143.053	3775.811	681.604	1636.042	2983.448	3694.132	430.527	188.409	296.800	283.361	361.582	195.562	767.115	411.372	
acj047_english_exp2_d.mat	"ult"	62981.200	63041.200	0	0	0	0	0	0	0	0	0	0	0	0	2.682	0	0	0	0	0.157	0	0	0	0	0	0	0	0	0	0	0	204.632	153.909	202.973	220.901	496.054	2459.465	3006.755	4418.660	524.577	2430.732	2891.128	4200.102	142.353	88.973	282.362	604.408	101.513	164.289	462.563	1524.083	
acj047_english_exp2_d.mat	"pen"	67669.000	67702.418	0	0	0	0	0	0	0	0	0	0	0	0	1.439	0	0	0	0	0.401	0	0	0	0	0	0	0	0	0	0	0	187.059	189.080	186.708	186.504	373.332	1930.034	2703.385	3524.757	436.109	1925.190	2781.181	3441.261	143.268	247.214	239.453	486.823	224.030	321.256	284.576	441.264	
acj047_english_exp2_d.mat	"ult"	67853.382	67939.000	8.982	6.598	6.177	-5.784	1.263	2.453	2.384	0.420	14.766	7.719	6.528	20.304	4.553	12.862	14.425	14.848	14.762	0.520	10.424	12.361	10.677	17.317	8.724	9.327	-1.937	1.685	-6.893	1.701	1.098	177.590	76.377	194.631	186.604	646.564	2166.501	2741.380	4218.355	658.496	2184.943	2755.014	4156.731	110.607	333.916	332.585	369.533	118.988	296.008	264.082	393.146	
acj047_english_exp2_d.mat	"pen"	73248.560	73303.456	0	0	0	0	0	0	0	0	0	0	0	0	4.476	0	0	0	0	0.058	0	0	0	0	0	0	0	0	0	0	0	258.848	258.240	253.281	234.797	353.405	2181.962	3197.763	4063.157	551.906	2281.192	3351.993	5011.894	95.560	253.485	132.878	1203.417	210.696	228.768	184.759	792.475	
acj047_english_exp2_d.mat	"ult"	73488.300	73616.821	15.021	6.416	4.767	-9.983	4.218	6.718	8.606	1.648	25.004	10.804	8.303	19.141	4.046	12.674	11.999	13.570	14.492	0.248	16.618	13.707	8.135	12.596	12.404	4.647	2.910	5.572	4.022	4.214	11.971	206.173	150.749	209.621	228.891	588.563	1993.640	3110.690	3927.843	718.878	1995.038	3004.684	3753.175	445.755	242.808	299.262	599.349	351.033	211.057	1055.088	590.849	
acj047_english_exp2_d.mat	"pen"	78281.500	78331.500	0	0	0	0	0	0	0	0	0	0	0	0	1.972	0	0	0	0	0.528	0	0	0	0	0	0	0	0	0	0	0	182.703	180.756	184.801	183.982	343.395	2244.956	2926.513	4051.117	439.244	2184.611	2890.950	3788.587	148.146	223.050	213.327	517.101	169.400	335.089	393.358	1016.119	
acj047_english_exp2_d.mat	"ult"	78484.528	78539.424	0	0	0	0	0	0	0	0	0	0	0	0	4.002	0	0	0	0	0.392	0	0	0	0	0	0	0	0	0	0	0	199.810	199.971	198.763	198.177	801.043	1760.367	2730.325	3993.587	771.995	1688.406	2618.388	3857.212	190.134	329.865	275.661	464.079	137.465	323.554	232.660	542.844	
acj047_english_exp2_d.mat	"pen"	83451.258	83558.763	16.802	2.593	0.035	-19.459	-15.126	-2.752	14.208	2.559	36.260	31.927	19.554	23.827	3.330	34.196	31.583	32.658	33.415	0.323	17.351	4.645	11.842	12.986	12.521	1.357	12.706	-7.197	4.364	4.830	15.994	209.862	202.385	209.296	196.788	1033.215	1688.633	3090.839	3850.553	806.333	1591.746	2979.972	3666.290	547.478	291.828	326.606	381.735	461.864	207.237	732.851	530.809	
acj047_english_exp2_d.mat	"ult"	83683.422	83740.605	0	0	0	0	0	0	0	0	0	0	0	0	2.735	0	0	0	0	0.424	0	0	0	0	0	0	0	0	0	0	0	191.991	0.000	223.841	193.566	672.661	1997.006	2468.926	4065.963	620.784	1834.784	2439.226	4092.000	209.836	317.030	123.383	291.969	126.334	524.999	123.104	319.232	
