Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	
afs116_catala_exp2_b.mat	"i"	52230.888	52336.200	11.516	16.665	13.975	-7.121	3.614	26.739	-5.149	2.690	18.638	7.902	-15.223	23.232	2.981	15.133	22.683	29.155	29.318	0.179	12.539	21.537	19.764	11.807	14.067	-1.024	-8.999	1.774	0.731	-1.528	13.563	108.418	204.776	102.410	203.738	341.988	1023.671	3235.157	4057.182	865.176	3061.862	4287.274	4935.301	
afs116_catala_exp2_b.mat	"a"	52496.200	52795.961	11.886	15.739	6.159	-11.517	-11.611	-4.887	-3.853	9.580	23.402	23.496	16.772	22.080	7.725	16.321	10.782	13.396	16.478	0.251	12.133	16.789	11.687	24.223	20.222	-2.881	-4.656	5.102	-12.090	-8.090	15.013	159.777	210.551	204.454	229.116	1155.867	1612.426	3404.989	4247.319	1031.913	1564.802	3436.248	4393.967	
afs116_catala_exp2_b.mat	"i"	73405.148	73524.954	11.641	16.564	11.887	-4.803	1.957	29.348	-4.923	4.678	16.444	9.684	-17.707	24.583	3.680	13.631	21.450	27.284	26.270	0.820	12.661	21.394	18.577	15.386	13.902	3.593	-8.733	2.817	-2.725	-1.241	9.068	114.941	212.958	106.772	213.491	361.943	999.422	3079.471	4254.864	800.156	3024.851	4289.883	4362.358	
afs116_catala_exp2_b.mat	"a"	73659.004	74008.984	11.274	16.389	-1.442	-14.697	7.726	1.884	-5.115	17.830	25.971	3.548	9.389	25.210	13.049	16.978	13.152	17.310	20.764	0.495	11.666	18.072	8.744	13.294	29.109	24.261	-6.406	9.328	-1.627	-17.443	-12.595	114.301	198.739	105.352	206.304	691.884	1293.411	1717.843	3490.689	1114.043	1457.667	3587.121	4728.125	
afs116_catala_exp2_b.mat	"i"	82814.498	82905.700	7.450	16.213	15.573	-10.382	8.238	23.402	-8.763	0.641	17.832	-0.788	-15.952	22.939	2.904	18.614	23.321	27.738	28.283	0.000	8.511	21.324	20.183	7.877	17.844	3.372	-12.812	1.141	0.634	-9.333	5.139	107.162	207.781	120.549	206.474	331.215	1042.819	2721.985	4337.539	991.668	2672.975	4172.852	4474.470	
afs116_catala_exp2_b.mat	"a"	82979.342	83275.700	9.319	13.044	6.239	-12.333	8.288	5.363	-3.726	6.805	21.652	1.031	3.955	24.863	11.196	28.166	23.048	24.716	26.542	0.247	10.145	16.914	15.148	12.967	25.988	23.756	-6.769	1.766	-2.822	-15.843	-13.611	136.649	213.028	217.784	217.494	527.523	1203.968	1590.627	3647.786	1024.260	1547.488	3492.990	4549.761	
afs116_catala_exp2_b.mat	"i"	92558.092	92690.900	11.056	17.156	14.181	-10.469	4.008	29.467	-6.100	2.975	21.524	7.048	-18.412	23.659	3.675	18.937	24.818	29.659	27.722	0.598	12.157	22.485	19.441	9.281	15.426	3.567	-10.329	3.044	2.876	-3.269	8.590	117.022	225.380	111.414	223.473	356.045	1004.397	3091.545	4121.854	817.906	2670.930	4112.106	4456.603	
afs116_catala_exp2_b.mat	"a"	92851.324	93065.305	13.191	0.271	5.771	-12.461	0.741	5.260	12.920	-5.500	25.652	12.451	7.932	23.674	3.819	35.807	35.993	39.082	42.066	0.000	15.340	11.749	11.103	11.535	17.791	6.324	3.590	0.647	3.805	-2.452	9.016	274.893	275.196	273.112	275.149	721.074	1375.031	2635.876	3917.884	935.301	1606.498	3477.244	4361.131	
afs116_catala_exp2_b.mat	"i"	101229.522	101348.200	13.755	15.211	12.866	-8.612	5.213	28.373	-1.456	2.345	22.366	8.541	-14.618	23.131	2.748	9.597	17.837	25.688	27.129	0.000	15.158	22.528	12.681	7.738	13.061	-3.005	-7.370	9.847	7.419	2.097	18.163	112.896	103.742	103.723	206.198	303.172	1038.742	3384.182	4397.351	957.307	3371.723	4430.844	0	
afs116_catala_exp2_b.mat	"a"	101548.200	101858.200	10.345	-1.192	13.145	-12.548	7.515	5.468	11.537	-14.336	22.893	2.830	4.877	22.956	4.526	34.106	29.734	32.710	35.323	0.246	13.577	8.701	12.375	8.346	19.575	16.566	4.876	-3.673	5.231	-5.998	-2.989	234.564	229.726	215.925	230.125	455.589	1243.162	1648.522	3512.041	1031.670	1579.407	3484.405	4504.482	
afs116_catala_exp2_c.mat	"i"	20385.304	20510.300	12.016	8.482	7.234	-6.703	-2.680	22.705	3.534	1.248	18.718	14.695	-10.690	21.915	1.254	31.613	40.052	48.325	48.501	0.000	16.320	15.788	2.564	9.878	5.439	-9.161	0.532	13.224	6.442	10.881	25.480	206.278	102.795	102.883	204.612	339.726	1022.477	3404.735	4323.166	882.029	3394.162	4373.130	0	
afs116_catala_exp2_c.mat	"a"	20662.687	20938.182	16.321	18.258	9.777	-12.446	-11.861	-4.628	-1.937	8.481	28.767	28.182	20.950	23.255	9.604	18.365	13.891	15.341	17.868	0.052	16.459	18.826	11.987	24.845	21.814	-0.509	-2.367	6.839	-8.386	-5.355	16.968	120.255	195.732	181.917	236.166	1216.459	1654.322	3387.298	4339.089	1025.598	1569.533	3389.326	4372.737	
afs116_catala_exp2_c.mat	"i"	36430.226	36523.400	14.928	16.246	13.603	-7.226	3.222	25.560	-1.318	2.643	22.154	11.706	-10.633	24.298	3.617	13.008	19.434	24.730	25.091	0.749	15.988	21.336	18.727	12.151	13.792	3.019	-5.349	2.609	3.837	2.196	12.969	114.101	106.643	106.787	213.325	354.879	1056.469	2944.365	4263.418	816.976	2624.460	4055.786	4370.509	
afs116_catala_exp2_c.mat	"a"	36601.406	36770.363	15.905	17.921	10.028	-8.728	-6.920	-5.458	-2.016	7.893	24.633	22.825	21.362	24.733	11.616	16.104	12.308	14.398	16.917	0.366	16.109	18.808	13.367	25.974	22.577	-0.432	-2.699	5.441	-9.865	-6.468	16.541	115.267	109.023	108.308	216.194	1036.703	1663.228	3128.973	4221.154	1004.111	1595.622	3191.810	4390.356	
afs116_catala_exp2_c.mat	"i"	50081.800	50167.922	12.985	11.047	8.567	-2.023	0.325	18.720	1.938	2.480	15.007	12.660	-5.735	21.108	2.202	27.510	34.634	39.371	39.275	0.675	17.229	18.956	4.850	14.679	8.802	-1.661	-1.727	14.107	2.550	8.427	18.890	203.967	203.298	203.812	203.756	341.909	981.972	2581.000	4223.423	684.085	2219.960	3085.307	4327.215	
afs116_catala_exp2_c.mat	"a"	50245.937	50441.800	10.105	17.520	4.091	-9.032	13.199	11.358	-7.415	13.429	19.137	-3.094	-1.253	23.246	18.474	17.162	11.445	12.153	14.078	0.290	10.665	19.987	17.496	15.442	29.147	25.071	-9.322	2.491	-4.776	-18.482	-14.406	113.470	224.895	220.313	221.500	475.990	1190.070	1657.239	3709.328	1066.424	1617.861	3273.163	4516.915	
afs116_catala_exp2_c.mat	"i"	56006.300	56126.300	14.654	13.611	11.114	-11.137	2.534	27.399	1.043	2.497	25.791	12.119	-12.745	22.855	2.174	12.935	21.614	28.405	28.821	0.005	16.006	20.595	11.841	5.940	11.064	-2.307	-4.589	8.754	10.066	4.942	18.312	114.630	106.113	105.892	211.883	318.377	1038.625	3298.072	4365.042	904.613	3109.140	4304.916	4484.822	
