Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	
ael236_english_exp2_a.mat	"ult"	55792.354	55888.187	6.131	10.896	3.217	-6.121	-4.633	-3.132	-4.765	7.679	12.252	10.764	9.263	17.922	1.640	10.956	14.280	15.260	17.426	0.366	6.464	12.320	10.706	18.306	8.256	2.177	-5.856	1.614	-11.842	-1.792	4.287	89.086	59.477	89.909	117.474	520.933	1601.874	2307.322	3666.394	531.891	1598.082	2337.032	3209.312	101.231	137.276	247.353	269.145	108.041	162.907	313.941	370.046	
ael236_english_exp2_a.mat	"pen"	63089.824	63207.500	1.180	14.663	21.457	-3.804	-10.167	-7.400	-13.483	-6.794	4.984	11.347	8.580	21.025	6.954	11.091	6.055	11.195	13.394	0.556	1.226	14.849	22.217	28.131	17.026	0.204	-13.623	-7.368	-26.904	-15.800	1.023	47.110	87.514	94.899	98.269	744.873	1248.336	2321.528	3386.224	737.271	1208.405	2265.648	3388.181	169.564	367.516	556.994	103.050	132.019	333.016	622.113	127.523	
ael236_english_exp2_a.mat	"ult"	63323.289	63378.342	0	0	0	0	0	0	0	0	0	0	0	0	0.350	0	0	0	0	0.460	0	0	0	0	0	0	0	0	0	0	0	92.251	0.000	47.208	130.251	646.838	1071.539	2306.951	3339.489	636.191	1053.281	2337.528	3395.927	218.483	264.299	428.927	292.976	191.331	238.279	527.351	298.890	
ael236_english_exp2_a.mat	"pen"	69624.089	69705.500	7.667	9.813	2.743	-7.637	-10.997	4.606	-2.146	7.070	15.304	18.664	3.061	17.738	0.976	11.429	20.450	24.427	25.014	0.352	8.539	13.973	10.433	11.299	-4.205	-3.509	-5.433	3.540	-2.760	12.744	12.048	101.625	78.974	101.696	123.173	332.032	1460.269	2538.860	3537.068	375.762	1496.604	2584.232	3537.459	99.019	195.016	81.783	207.782	139.338	266.824	164.491	207.895	
ael236_english_exp2_a.mat	"ult"	69797.404	69947.271	5.518	10.489	4.195	-5.229	-3.195	5.940	-4.970	6.294	10.748	8.713	-0.421	17.846	1.639	10.708	12.117	17.603	20.129	0.330	5.886	12.058	12.343	18.774	8.867	-5.183	-6.172	-0.285	-12.888	-2.981	11.068	88.872	62.922	88.877	109.054	454.590	1570.551	3048.112	3790.861	526.416	1553.398	2134.755	3485.717	131.497	221.025	424.470	536.058	186.744	288.910	787.534	310.260	
ael236_english_exp2_a.mat	"pen"	76789.062	76864.505	0	0	0	0	0	0	0	0	0	0	0	17.580	2.370	11.363	21.855	23.477	25.580	0.217	0	0	0	0	0	0	0	0	0	0	0	93.846	94.039	94.151	105.983	278.479	1901.040	3329.076	3874.043	301.303	1771.097	2107.872	3392.439	40.802	132.856	176.804	708.749	74.705	246.321	687.184	120.612	
ael236_english_exp2_a.mat	"ult"	76977.669	77176.472	-0.346	8.764	9.217	-1.301	-6.777	1.167	-9.110	-0.452	0.955	6.431	-1.513	22.177	5.702	8.225	8.413	11.512	14.528	0.161	-0.293	8.976	10.094	26.603	11.208	8.034	-9.269	-1.118	-26.897	-11.502	-8.328	46.915	177.722	188.963	215.725	611.118	1621.902	2509.450	3542.092	612.780	1604.468	2512.824	3455.373	64.660	148.252	168.219	394.136	59.573	159.450	190.925	477.888	
ael236_english_exp2_a.mat	"pen"	82400.849	82471.500	0	0	0	0	0	0	0	0	0	0	0	0	1.782	0	0	0	0	0.330	0	0	0	0	0	0	0	0	0	0	0	100.637	63.701	104.447	130.309	349.353	1046.951	1559.447	3416.675	479.751	1080.570	1614.968	3427.396	217.596	235.869	376.821	168.994	275.002	202.705	322.758	144.670	
ael236_english_exp2_a.mat	"ult"	82544.599	82631.500	0	0	0	0	0	0	0	0	0	0	0	22.226	2.466	8.660	12.574	15.177	16.910	0.324	0	0	0	0	0	0	0	0	0	0	0	81.967	25.322	91.749	149.522	547.382	1649.867	2486.677	3438.907	533.217	1623.308	2444.111	3427.656	96.278	151.054	192.864	175.347	83.312	207.798	288.427	259.353	
ael236_english_exp2_a.mat	"pen"	89041.220	89100.351	0	0	0	0	0	0	0	0	0	0	0	0	1.453	0	0	0	0	0.285	0	0	0	0	0	0	0	0	0	0	0	79.942	33.102	86.603	145.054	509.176	1046.077	2391.572	3988.610	554.165	1072.109	2412.977	3644.403	121.046	139.163	127.650	142.813	139.222	190.500	125.287	1228.534	
