Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H2Kc_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	H42Kc_mean	H2KH5Kc_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H2Ku_mean	H5Ku_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	H42Ku_mean	H2KH5Ku_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	oF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	oF1_mean	oF2_mean	oF3_mean	oF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	oB1_mean	oB2_mean	oB3_mean	oB4_mean	epoch_mean	
lrv099_catala_exp2_a.mat	"i"	32669.148	32713.800	20.491	3.838	-11.677	-20.599	-19.200	-12.458	-16.982	16.653	15.515	41.090	39.691	32.949	5.305	5.066	26.200	2.164	31.133	40.887	44.361	45.837	0.000	21.306	7.551	1.004	4.107	-7.491	-6.089	-11.866	-22.048	13.755	6.547	17.199	28.797	27.395	12.869	10.628	203.556	203.217	202.706	203.620	0	714.615	2221.934	2978.728	3756.838	409.193	2603.056	3349.016	4384.917	0	0	0	0	292.973	189.468	155.164	347.641	338.397	917.876	932.287	1130.664	0	0	0	0	0.217	
lrv099_catala_exp2_a.mat	"a"	32743.800	32813.800	18.719	4.646	-5.981	-13.768	-12.898	-4.506	-11.670	14.074	10.626	32.487	31.617	23.225	5.689	-1.170	29.972	1.841	46.633	51.666	54.475	54.723	0.000	19.548	8.487	10.403	11.259	1.313	-3.707	-1.923	-10.500	11.061	-1.916	8.290	18.236	23.255	12.326	10.806	199.070	198.027	199.023	199.296	0	693.023	1828.398	2971.457	4006.221	662.683	2027.634	3491.104	4854.006	0	0	0	0	271.690	213.314	314.569	465.040	457.059	850.923	730.882	321.538	0	0	0	0	0.211	
lrv099_catala_exp2_a.mat	"i"	38043.622	38149.567	13.086	15.830	22.609	11.542	6.390	6.934	4.363	-2.744	-6.779	1.543	6.696	6.152	18.247	23.706	28.212	2.284	40.245	49.214	53.596	53.587	0.000	21.237	9.626	2.971	20.800	-3.871	-4.819	-12.422	-19.343	11.611	6.655	0.437	25.108	26.056	15.393	5.971	206.020	206.079	205.839	205.379	0	227.369	2299.173	2989.576	3803.343	428.791	2567.991	3661.782	4582.818	0	0	0	0	108.135	156.681	246.885	274.446	298.890	351.124	668.587	1649.418	0	0	0	0	0.206	
lrv099_catala_exp2_a.mat	"a"	38189.800	38233.912	11.697	12.935	24.158	11.301	2.465	13.607	7.405	-1.237	-11.224	0.396	9.233	-1.909	16.753	25.060	25.489	1.822	29.173	37.052	40.387	41.801	0.000	19.992	5.978	4.582	19.986	-4.331	-6.834	-10.517	-17.655	14.014	1.396	0.006	24.323	26.826	15.099	6.663	203.196	202.846	203.022	203.509	0	221.273	1816.007	3037.190	4456.562	554.719	2081.773	3253.203	4647.887	0	0	0	0	302.884	107.370	104.798	235.697	529.041	1403.698	1152.254	259.340	0	0	0	0	0.200	
lrv099_catala_exp2_a.mat	"i"	43267.800	43317.800	19.926	6.279	-14.049	-23.098	-19.445	-9.618	-17.688	13.647	20.328	43.024	39.371	29.544	3.640	2.876	27.034	1.955	33.256	40.074	44.037	45.264	0.000	20.638	9.436	3.543	3.365	-4.304	-3.394	-13.659	-20.565	11.202	5.892	17.273	24.942	24.031	17.202	6.717	215.701	216.045	216.746	218.240	0	818.911	2235.636	3104.145	3954.321	569.344	2978.407	3423.018	4256.077	0	0	0	0	291.644	209.365	124.198	330.564	547.714	1185.814	1266.718	1233.351	0	0	0	0	0.216	
lrv099_catala_exp2_a.mat	"a"	43357.800	43414.045	20.246	5.962	-12.836	-14.696	-19.000	-6.467	-12.905	14.284	18.798	34.942	39.246	26.713	0.068	0.815	25.899	2.206	32.779	39.072	43.541	44.274	0.000	20.952	9.079	11.214	11.707	-1.562	-6.180	-8.625	-13.719	11.874	-2.135	9.245	22.514	27.132	19.839	4.492	202.617	200.775	203.719	202.285	0	811.515	1735.673	3075.555	4017.851	738.345	1980.356	3648.427	4887.556	0	0	0	0	278.814	263.458	204.076	356.593	565.530	1765.135	795.923	1032.545	0	0	0	0	0.211	
lrv099_catala_exp2_a.mat	"i"	48811.800	48863.413	19.054	4.905	-16.075	-23.546	-20.101	-14.397	-18.078	14.149	20.980	42.599	39.155	33.450	2.003	6.015	26.524	1.487	31.728	40.415	45.232	46.821	0.000	19.812	8.327	-0.247	1.550	-8.168	-7.229	-15.004	-24.093	11.485	8.574	18.262	27.981	27.042	14.757	9.229	199.057	198.950	199.055	199.771	0	714.332	2280.903	2997.979	3839.475	424.718	2640.846	3589.860	4600.394	0	0	0	0	259.691	224.623	209.029	307.364	342.222	617.084	746.006	2251.391	0	0	0	0	0.192	
lrv099_catala_exp2_a.mat	"a"	48896.037	48961.800	15.499	4.878	-12.336	-16.008	-15.779	-8.235	-19.698	10.621	17.215	31.506	31.277	23.734	7.361	-6.860	27.215	0.986	35.014	40.298	43.940	45.564	0.000	16.235	8.198	8.655	9.358	-1.278	-7.628	-9.619	-12.837	8.037	-0.457	6.877	17.513	23.862	18.274	3.542	193.827	192.489	194.072	193.976	0	712.138	1881.700	3103.454	4166.808	688.447	2079.157	3679.618	4791.637	0	0	0	0	239.656	177.346	389.118	410.378	414.931	892.871	728.699	563.972	0	0	0	0	0.194	
lrv099_catala_exp2_a.mat	"i"	53045.800	53095.800	17.076	3.730	-9.278	-16.851	-16.731	-15.043	-17.331	13.345	13.008	33.926	33.807	32.118	8.053	5.909	25.436	1.099	28.870	39.748	43.773	44.775	0.000	18.081	8.944	-1.613	6.574	-8.264	-9.150	-15.753	-23.240	9.136	10.557	11.507	26.345	27.231	14.140	8.505	194.384	193.898	194.671	194.976	0	665.783	2304.276	2957.639	3783.619	414.316	2553.470	3558.179	4743.684	0	0	0	0	358.103	177.579	238.126	263.163	287.839	391.010	568.745	1365.219	0	0	0	0	0.176	
lrv099_catala_exp2_a.mat	"a"	53135.800	53205.800	14.762	5.283	-9.534	-16.102	-20.124	-8.157	-16.701	9.479	14.817	30.865	34.886	22.919	7.167	0.163	26.876	0.805	35.407	41.341	45.405	46.347	0.000	15.387	8.019	9.462	10.145	-3.746	-6.485	-12.069	-16.865	7.368	-1.443	5.242	19.133	21.873	21.531	4.752	188.735	187.663	187.841	188.818	0	803.721	1815.179	3050.953	4072.919	770.510	2238.369	3682.964	4734.531	0	0	0	0	191.695	201.317	110.109	428.017	445.340	978.978	562.168	362.075	0	0	0	0	0.183	
