Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	
lrv099_catala_exp2_a.mat	"a"	38189.800	38233.912	0	0	0	0	0	0	0	0	0	0	0	25.810	1.803	32.599	42.661	46.620	47.096	0.000	0	0	0	0	0	0	0	0	0	0	0	203.170	202.845	203.019	203.620	221.251	1816.465	3026.699	4452.674	490.656	1650.201	3003.625	4458.951	288.939	135.278	118.986	241.337	159.915	438.706	327.086	520.874	
lrv099_catala_exp2_a.mat	"i"	43267.800	43317.800	0	0	0	0	0	0	0	0	0	0	0	0	1.964	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	215.664	215.901	216.769	218.335	820.810	2213.735	3102.544	3996.269	462.585	2194.791	3135.656	4010.067	307.782	211.787	132.031	309.306	396.594	757.731	452.666	364.648	
lrv099_catala_exp2_a.mat	"a"	43357.800	43414.045	0	0	0	0	0	0	0	0	0	0	0	24.772	2.124	30.691	39.062	43.249	43.506	0.000	0	0	0	0	0	0	0	0	0	0	0	203.530	201.044	204.355	203.677	811.591	1739.553	3074.821	4018.359	589.510	1463.139	3015.197	4056.825	279.407	263.365	204.816	354.088	261.510	611.085	566.541	531.194	
lrv099_catala_exp2_a.mat	"i"	48811.800	48863.413	0	0	0	0	0	0	0	0	0	0	0	0	1.475	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	199.090	198.873	198.845	199.819	717.973	2211.494	2958.232	3826.530	434.677	2362.991	3195.893	4243.562	276.423	292.002	201.113	298.699	376.122	1074.095	721.740	991.234	
lrv099_catala_exp2_a.mat	"a"	48896.037	48961.800	17.333	4.710	-14.779	-19.921	-18.340	-12.247	12.623	19.489	37.254	35.673	29.580	24.899	0.997	31.636	39.751	43.437	44.521	0.000	18.090	8.131	2.413	5.082	-5.756	-8.402	9.960	5.718	13.008	23.847	26.492	194.603	192.879	194.511	195.040	722.651	1892.428	3104.781	4178.842	620.538	1789.307	2951.983	4163.352	245.994	174.109	362.691	401.889	170.150	477.429	971.852	477.201	
lrv099_catala_exp2_a.mat	"i"	53045.800	53095.800	0	0	0	0	0	0	0	0	0	0	0	0	1.092	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	194.464	194.096	194.705	194.743	660.378	2262.763	2924.758	3763.894	411.567	2190.192	2745.663	3749.703	370.101	212.144	249.911	260.531	209.321	1285.722	730.439	883.162	
lrv099_catala_exp2_a.mat	"a"	53135.800	53205.800	0	0	0	0	0	0	0	0	0	0	0	25.557	0.797	30.505	39.270	43.610	44.643	0.000	0	0	0	0	0	0	0	0	0	0	0	188.889	187.685	188.091	188.818	796.544	1824.526	3049.887	4111.147	645.796	1606.192	3021.706	4075.619	203.701	198.095	117.047	412.835	171.927	577.972	342.782	728.054	
lrv099_catala_exp2_a.mat	"i"	57729.526	57786.918	0	0	0	0	0	0	0	0	0	0	0	0	1.883	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	197.362	196.931	198.058	197.952	226.610	2279.411	3006.199	3879.083	382.094	1983.922	2823.728	3718.334	107.019	199.578	184.798	281.921	225.179	1955.812	683.882	659.352	
lrv099_catala_exp2_a.mat	"a"	57833.800	57913.800	12.800	4.934	-8.115	-15.843	-17.273	-14.101	7.865	13.049	28.643	30.073	26.901	23.722	0.682	25.712	36.588	41.195	41.954	0.000	13.854	8.076	7.279	8.411	-4.525	-11.466	5.778	0.798	5.443	18.379	25.320	186.750	185.648	186.832	187.303	726.640	1840.790	2832.064	3997.758	641.465	1803.562	2746.189	4116.631	263.268	207.385	358.361	448.182	171.073	481.299	1054.163	513.687	
lrv099_catala_exp2_a.mat	"i"	62367.734	62401.800	0	0	0	0	0	0	0	0	0	0	0	0	2.745	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	203.131	202.049	203.333	203.620	708.564	2079.882	3013.892	3727.841	362.102	1810.621	2903.970	3714.150	265.517	203.211	194.705	298.181	260.240	1102.802	844.686	621.965	
